block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,57.178333,102921,3841,2625,8,2888,4,2874,59.403030,0.207828,31.478758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.027222,122449,4,146,8118,7,8157,4,2.666667,99.932457,99.044777,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.738335,120129,3,98,5424,3,5449,3,2.970297,99.944847,99.052826,
1,cube0,60.186668,108336,3842,2624,646,2556,647,2565,59.418495,20.159027,39.868011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.504448,123308,7,242,8146,1,8131,0,2.811245,99.993858,98.529678,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.932220,120478,5,162,5455,0,5425,1,2.994012,99.990807,98.524620,
2,cube0,61.432220,110578,3842,2624,318,2870,335,2892,59.418495,10.179267,34.896358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.934998,124083,7,242,8133,1,8137,1,2.811245,99.987709,98.523094,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.307777,121154,5,162,5447,1,5439,0,2.994012,99.990814,98.525421,
3,cube0,60.831665,109497,3842,2624,337,2883,315,2878,59.418495,10.166848,34.894012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.298332,124737,7,242,8117,0,8161,2,2.811245,99.987717,98.523804,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.133888,120841,5,162,5430,6,5437,3,2.994012,99.917252,98.451508,
4,cube0,60.821667,109479,3841,2625,328,2879,325,2882,59.403030,10.180855,34.891304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.912781,122243,7,242,8138,3,8136,1,2.811245,99.975426,98.511528,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.565552,119818,5,162,5439,2,5443,0,2.994012,99.981621,98.515968,
5,cube0,57.634445,103742,3842,2624,10,2886,5,2875,59.418495,0.259695,31.506290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
