block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,57.681110,103826,0.290818,0.281960,0.023935,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,68.282776,122909,0.161343,0.099306,0.037731,0.024306,0.000000,0.128889,0.041644,0.081235,
0,vector1,NA,NA,NA,NA,NA,NA,67.014442,120626,0.107562,0.066204,0.025154,0.016204,0.000000,0.100301,0.027261,0.063966,
1,cube0,61.337776,110408,0.283603,0.274992,0.046644,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,68.728889,123712,0.161343,0.099306,0.037731,0.024306,0.000000,0.138511,0.042384,0.133040,
1,vector1,NA,NA,NA,NA,NA,NA,67.239441,121031,0.107562,0.066204,0.025154,0.016204,0.000000,0.113326,0.027454,0.098495,
2,cube0,62.040554,111673,0.299653,0.290656,0.024498,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,69.177223,124519,0.161343,0.099306,0.037731,0.024306,0.000000,0.140417,0.041535,0.133048,
2,vector1,NA,NA,NA,NA,NA,NA,67.561111,121610,0.107562,0.066204,0.025154,0.016204,0.000000,0.106968,0.026944,0.098503,
3,cube0,60.883335,109590,0.297662,0.288218,0.023897,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,69.433891,124981,0.161343,0.099306,0.037731,0.024306,0.000000,0.128148,0.041767,0.133048,
3,vector1,NA,NA,NA,NA,NA,NA,67.407219,121333,0.107562,0.066204,0.025154,0.016204,0.000000,0.100162,0.027369,0.098511,
4,cube0,61.021111,109838,0.307940,0.301451,0.024074,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,68.355553,123040,0.161343,0.099306,0.037731,0.024306,0.000000,0.131674,0.042029,0.133040,
4,vector1,NA,NA,NA,NA,NA,NA,66.902222,120424,0.107562,0.066204,0.025154,0.016204,0.000000,0.102006,0.027917,0.098511,
5,cube0,58.649445,105569,0.285440,0.276258,0.023935,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,63.292221,113926,0.161343,0.099306,0.037731,0.024306,0.000000,0.111165,0.037153,0.081119,
5,vector1,NA,NA,NA,NA,NA,NA,63.241112,113834,0.107562,0.066204,0.025154,0.016204,0.000000,0.090046,0.024769,0.063881,
6,cube0,57.933887,104281,0.286497,0.277037,0.023935,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,68.181114,122726,0.161343,0.099306,0.037731,0.024306,0.000000,0.118796,0.041512,0.081242,
6,vector1,NA,NA,NA,NA,NA,NA,66.872223,120370,0.107562,0.066204,0.025154,0.016204,0.000000,0.096458,0.027091,0.063958,
7,cube0,61.311111,110360,0.282500,0.273318,0.046319,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,68.468887,123244,0.161343,0.099306,0.037731,0.024306,0.000000,0.135826,0.041906,0.133056,
7,vector1,NA,NA,NA,NA,NA,NA,66.970001,120546,0.107562,0.066204,0.025154,0.016204,0.000000,0.107323,0.026929,0.098511,
8,cube0,60.870556,109567,0.299722,0.290247,0.023897,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,69.054443,124298,0.161343,0.099306,0.037731,0.024306,0.000000,0.139205,0.041590,0.133063,
8,vector1,NA,NA,NA,NA,NA,NA,67.420555,121357,0.107562,0.066204,0.025154,0.016204,0.000000,0.100000,0.027176,0.098503,
9,cube0,60.494999,108891,0.292816,0.285586,0.023897,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,69.264442,124676,0.161343,0.099306,0.037731,0.024306,0.000000,0.131829,0.041759,0.133056,
9,vector1,NA,NA,NA,NA,NA,NA,67.242775,121037,0.107562,0.066204,0.025154,0.016204,0.000000,0.096404,0.027647,0.098511,
10,cube0,60.904446,109628,0.298395,0.292577,0.023897,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,68.123886,122623,0.161343,0.099306,0.037731,0.024306,0.000000,0.146258,0.042122,0.133056,
10,vector1,NA,NA,NA,NA,NA,NA,66.810555,120259,0.107562,0.066204,0.025154,0.016204,0.000000,0.103341,0.027222,0.098495,
11,cube0,58.579445,105443,0.291867,0.283171,0.023935,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,63.141109,113654,0.161343,0.099306,0.037731,0.024306,0.000000,0.108117,0.037153,0.081127,
11,vector1,NA,NA,NA,NA,NA,NA,63.103333,113586,0.107562,0.066204,0.025154,0.016204,0.000000,0.089120,0.024769,0.063866,
12,cube0,57.631668,103737,0.284167,0.275162,0.023935,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,68.093330,122568,0.161343,0.099306,0.037731,0.024306,0.000000,0.123310,0.041937,0.081250,
12,vector1,NA,NA,NA,NA,NA,NA,66.701668,120063,0.107562,0.066204,0.025154,0.016204,0.000000,0.091651,0.027338,0.063974,
13,cube0,60.583332,109050,0.292600,0.287647,0.047052,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,68.567223,123421,0.161343,0.099306,0.037731,0.024306,0.000000,0.128812,0.041813,0.133048,
13,vector1,NA,NA,NA,NA,NA,NA,67.121109,120818,0.107562,0.066204,0.025154,0.016204,0.000000,0.101759,0.027431,0.098511,
14,cube0,60.474445,108854,0.292076,0.283819,0.023889,0.000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
