block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,57.660000,103788,15.386111,0.213696,13.791111,0.191543,10.446111,0.145085,5.082222,0.070586,6.755367,23.395555,0.324938,130.441788,0.000000,19.885000,0.276181,0.591111,2.786111,11.087778,0.000000,0.000000,0.830556,0.167778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.990555,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.691109,123644,47.172779,0.655177,19.303888,0.268110,99.979782,1.573889,0.021860,44.460480,0.009952,17.578888,0.244151,2.794445,7.135000,0.000000,0.000000,0.000000,32.948891,0.595556,3.260556,NA,7.970000,4.803889,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.419998,121356,32.184444,0.447006,14.183888,0.196998,90.718773,1.192222,0.016559,39.395729,0.013896,15.251111,0.211821,2.001111,5.001111,0.000000,0.000000,0.000000,18.216110,0.568333,2.515000,NA,17.149445,12.193889,
1,cube0,60.923332,109662,15.697222,0.218017,13.990000,0.194306,9.926666,0.137870,4.176667,0.058009,8.220017,23.512222,0.326559,129.794525,0.000000,20.800556,0.288897,0.637222,2.858889,11.086667,0.000000,0.000000,0.817778,0.154444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.485554,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.162781,124493,49.761665,0.691134,21.282778,0.295594,90.683578,2.286111,0.031752,50.789242,0.010022,18.774445,0.260756,2.877222,7.275556,0.000000,0.000000,0.000000,34.024445,0.527222,4.979445,NA,6.665000,1.551111,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.584999,121653,34.561111,0.480015,14.183888,0.196998,90.718773,1.685556,0.023410,46.112068,0.013038,18.353333,0.254907,2.065000,5.118333,0.000000,0.000000,0.000000,19.337778,0.602222,2.489444,NA,16.219999,9.350555,
2,cube0,62.470001,112446,15.465555,0.214799,13.800000,0.191667,10.905556,0.151466,2.465000,0.034236,13.927901,24.116112,0.334946,126.544357,0.000000,22.038334,0.306088,0.646667,2.882778,11.749444,0.000000,0.000000,0.872222,0.171111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.279446,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.583336,125250,50.192223,0.697114,19.150555,0.265980,100.780289,2.725000,0.037847,42.609123,0.009332,21.685556,0.301188,2.881667,7.298889,0.000000,0.000000,0.000000,33.993889,0.467778,3.366667,NA,6.475555,0.671111,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.928886,122272,34.845554,0.483966,13.487778,0.187330,95.400818,1.867222,0.025934,41.625713,0.012726,16.459444,0.228603,2.070000,5.141667,0.000000,0.000000,0.000000,18.866112,0.950000,3.681667,NA,19.048889,8.100000,
3,cube0,61.322224,110380,15.680555,0.217785,13.836667,0.192176,10.777778,0.149691,1.696667,0.023565,20.235132,24.433332,0.339352,124.901413,0.000000,23.987223,0.333156,0.653889,2.907778,11.715555,0.000000,0.000000,0.782778,0.159444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.867779,NA,NA,
