block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,58.428890,105172,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.120003,122616,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.886665,120396,
1,cube0,61.699444,111059,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.618889,123514,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.056664,120702,
2,cube0,61.940556,111493,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.035553,124264,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.480003,121464,
3,cube0,61.078335,109941,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.489441,125081,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.298332,121137,
4,cube0,61.522778,110741,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.077774,122540,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.756111,120161,
5,cube0,58.418888,105154,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,63.151112,113672,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,63.165001,113697,
6,cube0,58.177223,104719,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,67.971107,122348,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.766670,120180,
7,cube0,61.056110,109901,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.518333,123333,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.921112,120458,
8,cube0,61.135555,110044,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.919441,124055,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.480003,121464,
9,cube0,61.268890,110284,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.334999,124803,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.302780,121145,
10,cube0,61.618332,110913,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.035004,122463,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.632225,119938,
11,cube0,57.870556,104167,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,63.003334,113406,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,63.005554,113410,
12,cube0,57.898335,104217,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,67.874443,122174,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.635559,119944,
13,cube0,60.324444,108584,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.472778,123251,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.093887,120769,
14,cube0,61.329445,110393,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.897781,124016,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.230553,121015,
15,cube0,61.332222,110398,41.918915,20.959457,167.675659,25.151348,0.000000,41.918915,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.349442,124829,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.251114,121052,
16,cube0,50.956112,91721,33.535130,16.767565,134.140518,20.121078,0.000000,33.535130,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,62.965557,113338,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,62.958332,113325,
17,cube0,49.202221,88564,33.535130,16.767565,134.140518,20.121078,0.000000,33.535130,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.224442,122804,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,66.757225,120163,
18,cube0,52.013332,93624,33.535130,16.767565,134.140518,20.121078,0.000000,33.535130,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.186111,124535,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.071663,120729,
19,cube0,50.636112,91145,33.535130,16.767565,134.140518,20.121078,0.000000,33.535130,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,62.941113,113294,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,62.951668,113313,
