block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,58.468334,105243,47.198826,9.691939,9.491121,42.573425,246,0.190571,87,0.134992,18,0.016049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.671189,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.879997,122184,0.966231,26.649542,26.766411,0.981046,134,0.276242,11,0.019715,2032.625000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,73.375000,0.517254,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.586113,119855,0.648544,17.767460,17.884329,0.663358,90,0.186065,8,0.014151,1358.125000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,49.250000,0.347186,
1,cube0,60.751110,109352,47.198826,10.745411,10.544594,42.573425,246,0.193619,89,0.146489,18,0.049005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.465553,123238,1.603252,26.649542,26.769703,1.618067,134,0.253573,17,0.036551,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.923332,120462,1.073224,17.767460,17.885973,1.088039,90,0.194313,12,0.023588,1358.250000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
2,cube0,61.702221,111064,47.198826,10.745411,10.544594,42.573425,246,0.192554,89,0.154985,18,0.034498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.779442,123803,1.603252,26.649542,26.766411,1.618067,134,0.270648,17,0.034498,2032.625000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.132774,120839,1.073224,17.767460,17.882683,1.088039,90,0.182793,12,0.024090,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
3,cube0,60.863888,109555,47.198826,10.745411,10.544594,42.573425,246,0.191489,89,0.153441,18,0.010679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.242226,124636,1.603252,26.649542,26.768057,1.618067,134,0.248171,17,0.034020,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.175552,120916,1.073224,17.767460,17.849762,1.088039,90,0.195108,12,0.023580,1355.500000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
4,cube0,60.518333,108933,47.198826,10.745411,10.544594,42.573425,246,0.191875,89,0.164113,18,0.040255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.851112,122132,1.603252,26.649542,26.771349,1.618067,134,0.283750,17,0.035093,2033.000000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.512779,119723,1.073224,17.767460,17.882683,1.088039,90,0.182569,12,0.025664,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
5,cube0,58.150555,104671,47.198826,9.691939,9.491121,42.573425,246,0.191088,87,0.149784,18,0.029514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.671189,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.927223,113269,0.650190,25.385376,25.485785,0.665004,122,0.280556,8,0.013372,1935.375000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.535662,49.375000,0.348067,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.927223,113269,0.437849,16.924683,17.025091,0.452664,82,0.180463,6,0.010224,1292.875000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.690940,33.250000,0.234395,
6,cube0,58.347778,105026,47.198826,9.691939,9.491121,42.573425,246,0.190988,87,0.146829,18,0.011204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.671189,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.761108,121970,0.966231,26.649542,26.768057,0.981046,134,0.279259,11,0.020702,2032.750000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,73.375000,0.517254,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.469444,119645,0.648544,17.767460,17.882683,0.663358,90,0.191281,8,0.014668,1358.000000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,49.250000,0.347186,
7,cube0,61.384998,110493,47.198826,10.745411,10.544594,42.573425,246,0.193032,89,0.145602,18,0.004159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.177223,122719,1.603252,26.649542,26.768057,1.618067,134,0.272045,17,0.035378,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.670555,120007,1.073224,17.767460,17.884329,1.088039,90,0.189946,12,0.021759,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
8,cube0,60.605000,109089,47.198826,10.745411,10.544594,42.573425,246,0.191034,89,0.150247,18,0.048711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.638336,123549,1.603252,26.649542,26.771349,1.618067,134,0.278395,17,0.037539,2033.000000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.067223,120721,1.073224,17.767460,17.882683,1.088039,90,0.196829,12,0.026590,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
9,cube0,60.802223,109444,47.198826,10.745411,10.544594,42.573425,246,0.190980,89,0.152222,18,0.050617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.050552,124291,1.603252,26.649542,26.772995,1.618067,134,0.280239,17,0.034390,2033.125000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.895554,120412,1.073224,17.767460,17.885973,1.088039,90,0.180725,12,0.023596,1358.250000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
10,cube0,59.615002,107307,47.198826,10.745411,10.544594,42.573425,246,0.191327,89,0.153295,18,0.030224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.750000,121950,1.603252,26.649542,26.768057,1.618067,134,0.275100,17,0.036165,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.441109,119594,1.073224,17.767460,17.885973,1.088039,90,0.201289,12,0.024082,1358.250000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
11,cube0,57.637222,103747,47.198826,9.691939,9.491121,42.573425,246,0.191204,87,0.145872,18,0.048380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.671189,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.775002,112995,0.650190,25.385376,25.490723,0.665004,122,0.257600,8,0.014105,1935.750000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.535662,49.375000,0.348067,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.802223,113044,0.437849,16.924683,17.025091,0.452664,82,0.173318,6,0.009684,1292.875000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.690940,33.250000,0.234395,
12,cube0,57.648888,103768,47.198826,9.691939,9.491121,42.573425,246,0.190795,87,0.141713,18,0.047909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.671189,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.663330,121794,0.966231,26.649542,26.768057,0.981046,134,0.277523,11,0.021003,2032.750000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,73.375000,0.517254,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.529999,119754,0.648544,17.767460,17.885973,0.663358,90,0.200370,8,0.015424,1358.250000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,49.250000,0.347186,
13,cube0,60.125557,108226,47.198826,10.745411,10.544594,42.573425,246,0.193302,89,0.151651,18,0.048272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.051666,122493,1.603252,26.649542,26.774643,1.618067,134,0.279282,17,0.031921,2033.250000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.645554,119962,1.073224,17.767460,17.887621,1.088039,90,0.198843,12,0.023256,1358.375000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
14,cube0,61.084446,109952,47.198826,10.745411,10.544594,42.573425,246,0.192207,89,0.153588,18,0.047407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,4.070231,36.000000,0.237709,0.000000,0.000000,3200.000000,20.131313,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.637222,123547,1.603252,26.649542,26.769703,1.618067,134,0.278688,17,0.037377,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,12.110126,121.750000,0.858272,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.196114,120953,1.073224,17.767460,17.884329,1.088039,90,0.211458,12,0.027554,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,8.073916,81.500000,0.574531,
