block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,57.319443,103175,0.213719,0.213719,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.592224,121666,0.655177,0.197307,0.000000,0.001682,0.000000,0.071273,1191840,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.291664,119325,0.447006,0.133881,0.000000,0.001204,0.000000,0.050656,800576,
1,cube0,60.399445,108719,0.214884,0.214884,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.087219,122557,0.691134,0.202346,0.000000,0.001728,0.000000,0.080247,1209568,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.559448,119807,0.480015,0.139174,0.000000,0.001250,0.000000,0.059722,817536,
2,cube0,61.372223,110470,0.212361,0.212361,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.422226,123160,0.697114,0.201204,0.000000,0.001721,0.000000,0.079799,1209568,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.862778,120353,0.483966,0.138356,0.000000,0.001242,0.000000,0.059367,817536,
3,cube0,60.598331,109077,0.217423,0.217423,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.967224,124141,0.703040,0.200077,0.000000,0.001705,0.000000,0.079352,1209568,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.762779,120173,0.483966,0.138356,0.000000,0.001242,0.000000,0.059367,817536,
4,cube0,61.140556,110053,0.238441,0.238441,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.501663,121503,0.684051,0.203789,0.000000,0.001744,0.000000,0.080826,1209568,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.184448,119132,0.475247,0.140224,0.000000,0.001258,0.000000,0.060170,817536,
5,cube0,58.338333,105009,0.211065,0.211065,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.583332,112650,0.618765,0.204421,0.000000,0.001744,0.000000,0.061705,1162080,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.583332,112650,0.422400,0.138796,0.000000,0.001242,0.000000,0.044105,780352,
6,cube0,58.141109,104654,0.211397,0.211397,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.398331,121317,0.655293,0.197284,0.000000,0.001682,0.000000,0.071265,1191840,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.117226,119011,0.447045,0.133873,0.000000,0.001204,0.000000,0.050648,800576,
7,cube0,60.282223,108508,0.207716,0.207716,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.856110,122141,0.691188,0.202353,0.000000,0.001728,0.000000,0.080255,1209568,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.375000,119475,0.480015,0.139174,0.000000,0.001250,0.000000,0.059722,817536,
8,cube0,60.752777,109355,0.210378,0.210378,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.387779,123098,0.697114,0.201204,0.000000,0.001721,0.000000,0.079799,1209568,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.889999,120402,0.483966,0.138356,0.000000,0.001242,0.000000,0.059367,817536,
9,cube0,60.855000,109539,0.215625,0.215625,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.696663,123654,0.703040,0.200077,0.000000,0.001705,0.000000,0.079352,1209568,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.635002,119943,0.483966,0.138356,0.000000,0.001242,0.000000,0.059367,817536,
10,cube0,60.399445,108719,0.223171,0.223171,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.370003,121266,0.684144,0.203773,0.000000,0.001736,0.000000,0.080818,1209568,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.120003,119016,0.475216,0.140231,0.000000,0.001258,0.000000,0.060177,817536,
11,cube0,57.093887,102769,0.214961,0.214961,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.441113,112394,0.618765,0.204421,0.000000,0.001744,0.000000,0.061705,1162080,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.478889,112462,0.422400,0.138796,0.000000,0.001242,0.000000,0.044105,780352,
12,cube0,57.849998,104130,0.214560,0.214560,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.300552,121141,0.655332,0.197276,0.000000,0.001682,0.000000,0.071258,1191840,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.184998,119133,0.447091,0.133843,0.000000,0.001204,0.000000,0.050640,800576,
13,cube0,60.615555,109108,0.232747,0.232747,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.699448,121859,0.691188,0.202353,0.000000,0.001728,0.000000,0.080255,1209568,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.337219,119407,0.480015,0.139174,0.000000,0.001250,0.000000,0.059722,817536,
14,cube0,61.008335,109815,0.219028,0.219028,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.372223,123070,0.697114,0.201204,0.000000,0.001721,0.000000,0.079799,1209568,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.713890,120085,0.483966,0.138356,0.000000,0.001242,0.000000,0.059367,817536,
15,cube0,60.918335,109653,0.250085,0.250085,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.727776,123710,0.703040,0.200077,0.000000,0.001705,0.000000,0.079352,1209568,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.724442,120104,0.484012,0.138372,0.000000,0.001242,0.000000,0.059375,817536,
16,cube0,49.266109,88679,0.175625,0.175625,0.000000,393216,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.395000,112311,0.501289,0.165100,0.000000,0.001443,0.000000,0.051343,933504,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.395557,112312,0.344082,0.112562,0.000000,0.001049,0.000000,0.037245,627968,
17,cube0,49.409443,88937,0.184653,0.184653,0.000000,393216,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.635002,121743,0.544861,0.156659,0.000000,0.001373,0.000000,0.060347,963264,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.239998,119232,0.373472,0.106698,0.000000,0.000995,0.000000,0.043380,648192,
18,cube0,51.779446,93203,0.179198,0.179198,0.000000,393216,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.637222,123547,0.585563,0.160656,0.000000,0.001404,0.000000,0.068989,980992,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.541115,119774,0.405694,0.111914,0.000000,0.001042,0.000000,0.052600,665152,
19,cube0,49.888332,89799,0.172145,0.172145,0.000000,393216,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.375557,112276,0.501289,0.165100,0.000000,0.001443,0.000000,0.051343,933504,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.404999,112329,0.344082,0.112562,0.000000,0.001049,0.000000,0.037245,627968,
