block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,57.776112,103997,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,67.709442,121877,111.621918,87.541328,0.001246,0.006437,
0,vector1,NA,NA,66.334999,119403,74.434547,58.952263,0.001246,0.004568,
1,cube0,60.715557,109288,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,68.233330,122820,112.007317,90.096230,0.001246,0.012044,
1,vector1,NA,NA,66.668892,120004,74.693687,61.191547,0.001246,0.008306,
2,cube0,61.521667,110739,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,68.668335,123603,112.326263,90.734131,0.001246,0.012044,
2,vector1,NA,NA,67.150002,120870,74.906319,61.616814,0.001246,0.008306,
3,cube0,60.866112,109559,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,69.037781,124268,112.635239,91.372025,0.001246,0.012044,
3,vector1,NA,NA,66.860001,120348,74.899673,61.616814,0.001246,0.008306,
4,cube0,61.483334,110670,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,67.606667,121692,111.628563,89.325439,0.001246,0.012044,
4,vector1,NA,NA,66.269447,119285,74.431221,60.673256,0.001246,0.008306,
5,cube0,58.442223,105196,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,62.738888,112930,106.894173,81.378311,0.001246,0.006437,
5,vector1,NA,NA,62.743889,112939,71.278290,54.812584,0.001246,0.004568,
6,cube0,57.867222,104161,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,67.619446,121715,111.628563,87.551292,0.001246,0.006437,
6,vector1,NA,NA,66.305000,119349,74.437866,58.955589,0.001246,0.004568,
7,cube0,59.206665,106572,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,68.074448,122534,112.007317,90.096230,0.001246,0.012044,
7,vector1,NA,NA,66.481667,119667,74.693687,61.191547,0.001246,0.008306,
8,cube0,60.557777,109004,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,68.526108,123347,112.326263,90.734131,0.001246,0.012044,
8,vector1,NA,NA,66.992226,120586,74.906319,61.616814,0.001246,0.008306,
9,cube0,60.067223,108121,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,68.818336,123873,112.635239,91.372025,0.001246,0.012044,
9,vector1,NA,NA,66.787224,120217,74.899673,61.616814,0.001246,0.008306,
10,cube0,60.534443,108962,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,67.535004,121563,111.631882,89.338730,0.001246,0.012044,
10,vector1,NA,NA,66.279999,119304,74.431221,60.673256,0.001246,0.008306,
11,cube0,58.156666,104682,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,62.593887,112669,106.894173,81.378311,0.001246,0.006437,
11,vector1,NA,NA,62.619999,112716,71.278290,54.812584,0.001246,0.004568,
12,cube0,58.358334,105045,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,67.536110,121565,111.628563,87.557938,0.001246,0.006437,
12,vector1,NA,NA,66.307220,119353,74.441193,58.965557,0.001246,0.004568,
13,cube0,61.052223,109894,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,68.072777,122531,112.007317,90.096230,0.001246,0.012044,
13,vector1,NA,NA,66.602219,119884,74.693687,61.191547,0.001246,0.008306,
14,cube0,60.809444,109457,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,68.434998,123183,112.326263,90.734131,0.001246,0.012044,
14,vector1,NA,NA,66.815002,120267,74.906319,61.616814,0.001246,0.008306,
15,cube0,60.621113,109118,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,68.878334,123981,112.635239,91.372025,0.001246,0.012044,
15,vector1,NA,NA,66.846107,120323,74.899673,61.616814,0.001246,0.008306,
16,cube0,50.223888,90403,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,62.566113,112619,85.524643,65.470772,0.001246,0.006437,
16,vector1,NA,NA,62.541111,112574,57.031933,44.207558,0.001246,0.004568,
17,cube0,49.566113,89219,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,67.775558,121996,90.637779,72.407898,0.001246,0.006437,
17,vector1,NA,NA,66.326111,119387,60.447334,48.858883,0.001246,0.004568,
18,cube0,52.782223,95008,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,68.863335,123954,91.265709,75.464478,0.001246,0.012044,
18,vector1,NA,NA,66.708336,120075,60.653320,51.011784,0.001246,0.008306,
19,cube0,49.335556,88804,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,62.526112,112547,85.524643,65.470772,0.001246,0.006437,
19,vector1,NA,NA,62.519444,112535,57.031933,44.207558,0.001246,0.004568,
