block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,12.830000,23094,0.113421,0.118129,0.093713,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,17.087223,30757,0.009825,0.003363,0.000322,0.006140,0.000000,0.043421,0.002427,0.139415,
0,vector1,NA,NA,NA,NA,NA,NA,15.232223,27418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000614,0.000000,0.111491,
1,cube0,13.404445,24128,0.105848,0.110936,0.084152,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,14.746667,26544,0.009825,0.003363,0.000322,0.006140,0.000000,0.019503,0.000000,0.136170,
1,vector1,NA,NA,NA,NA,NA,NA,14.490556,26083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000673,0.000000,0.111404,
2,cube0,13.578333,24441,0.110585,0.116170,0.089327,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,14.768888,26584,0.009825,0.003363,0.000322,0.006140,0.000000,0.019240,0.000000,0.139444,
2,vector1,NA,NA,NA,NA,NA,NA,14.450556,26011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000673,0.000000,0.111491,
3,cube0,12.353889,22237,0.104503,0.110585,0.080029,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,14.423333,25962,0.009825,0.003363,0.000322,0.006140,0.000000,0.023684,0.000000,0.139444,
3,vector1,NA,NA,NA,NA,NA,NA,14.424444,25964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000643,0.000000,0.111550,
4,cube0,12.887222,23197,0.105263,0.110702,0.082339,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,17.047222,30685,0.009825,0.003363,0.000322,0.006140,0.000000,0.039123,0.004532,0.139474,
4,vector1,NA,NA,NA,NA,NA,NA,15.148889,27268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000614,0.000000,0.106404,
5,cube0,12.349444,22229,0.112222,0.116608,0.081082,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,14.387777,25898,0.009825,0.003363,0.000322,0.006140,0.000000,0.023421,0.000000,0.138801,
5,vector1,NA,NA,NA,NA,NA,NA,14.370556,25867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000380,0.000000,0.107251,
6,cube0,13.218333,23793,0.119298,0.125673,0.099211,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,14.488889,26080,0.009825,0.003363,0.000322,0.006140,0.000000,0.020643,0.000000,0.137573,
6,vector1,NA,NA,NA,NA,NA,NA,14.339444,25811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000380,0.000000,0.107690,
7,cube0,12.570556,22627,0.121374,0.125936,0.102018,0.002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,14.341666,25815,0.009825,0.003363,0.000322,0.006140,0.000000,0.020000,0.000000,0.139094,
