block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,15.692223,28246,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.244444,36440,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,18.384445,33092,
1,cube0,16.725000,30105,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.832777,32099,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.673334,31812,
2,cube0,14.862223,26752,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.421112,31358,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.440001,31392,
3,cube0,15.561111,28010,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.391111,31304,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.412777,31343,
4,cube0,15.947222,28705,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.132778,36239,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,18.266111,32879,
5,cube0,15.768888,28384,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.267221,31081,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.340555,31213,
6,cube0,15.858334,28545,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.303888,31147,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.295555,31132,
7,cube0,15.891666,28605,1.317658,0.658829,5.270633,5.270633,0.000000,1.317658,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.295000,31131,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.275555,31096,
8,cube0,5.935555,10684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.272778,31091,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.248888,31048,
9,cube0,6.560000,11808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.248333,31047,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.222221,31000,
10,cube0,6.630000,11934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.221111,30998,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.209444,30977,
11,cube0,6.630000,11934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.209444,30977,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.222778,31001,
12,cube0,6.205555,11170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.207222,30973,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.207777,30974,
13,cube0,5.987778,10778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.192223,30946,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.195000,30951,
14,cube0,6.290000,11322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.179445,30923,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.199444,30959,
15,cube0,6.505000,11709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.165001,30897,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.186111,30935,
16,cube0,6.527222,11749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.153889,30877,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.180555,30925,
17,cube0,7.020000,12636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.148333,30867,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.166111,30899,
18,cube0,6.730000,12114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.132778,30839,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.161667,30891,
19,cube0,6.841667,12315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.127222,30829,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,17.154444,30878,
