block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,15.692223,28246,0.237778,0.010338,0.672778,0.029251,2.706667,0.117681,3.533889,0.153647,9.175424,3.182222,0.138357,9.590021,0.000000,7.321667,0.318333,0.166667,0.432222,0.000000,0.000000,0.000000,0.000000,0.107222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.902222,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.244444,36440,4.223889,0.183647,2.828889,0.122995,27.095999,0.776667,0.033768,30.851160,0.062384,7.749444,0.336932,0.322222,0.684444,0.000000,0.000000,0.000000,0.000000,3.353333,2.181667,NA,4.919445,1.494444,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.384445,33092,2.204444,0.095845,2.727222,0.118575,0.087422,0.148333,0.006449,6.429265,0.112094,7.657778,0.332947,0.187778,0.377778,0.000000,0.000000,0.000000,0.000000,0.459444,2.692778,NA,3.274444,2.527222,
1,cube0,16.725000,30105,0.237778,0.010338,0.672778,0.029251,2.553333,0.111014,4.367222,0.189879,7.424611,3.021667,0.131377,10.099585,0.000000,7.221111,0.313961,0.167222,0.439444,0.000000,0.000000,0.000000,0.000000,0.140000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.610000,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.832777,32099,3.015556,0.131111,3.030000,0.131739,5.153933,0.393889,0.017126,41.462639,0.070686,7.296111,0.317222,0.282778,0.591667,0.000000,0.000000,0.000000,0.000000,2.150556,1.995556,NA,6.459445,0.274444,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.673334,31812,2.204444,0.095845,3.043333,0.132319,0.078341,1.071667,0.046594,0.889898,0.114413,7.276111,0.316353,0.176111,0.354444,0.000000,0.000000,0.000000,0.000000,1.785556,1.305556,NA,3.662222,0.407778,
2,cube0,14.862223,26752,0.237778,0.010338,0.683333,0.029710,4.251667,0.184855,2.627778,0.114251,12.339295,4.875000,0.211957,6.260016,0.000000,10.807222,0.469879,0.166667,0.446667,0.000000,0.000000,0.000000,0.000000,0.138333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.019444,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.421112,31358,3.008889,0.130821,3.420556,0.148720,4.565462,0.442778,0.019251,36.884579,0.079381,4.326111,0.188092,0.285000,0.597222,0.000000,0.000000,0.000000,0.017222,2.051111,0.897222,NA,7.921111,2.100556,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.440001,31392,2.204444,0.095845,2.647778,0.115121,0.090045,0.138333,0.006014,6.894031,0.102256,3.850000,0.167391,0.177222,0.360556,0.000000,0.000000,0.000000,0.000000,1.021111,1.460000,NA,4.761667,3.187778,
3,cube0,15.561111,28010,0.237778,0.010338,0.683889,0.029734,4.253334,0.184928,2.350556,0.102198,13.794579,4.941667,0.214855,6.175564,0.000000,11.861111,0.515700,0.166667,0.453889,0.000000,0.000000,0.000000,0.000000,0.123889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.329444,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.391111,31304,3.015556,0.131111,2.441667,0.106159,6.395802,1.447222,0.062923,11.284842,0.072671,5.129445,0.223019,0.284444,0.604444,0.000000,0.000000,0.000000,0.000000,4.299445,1.739444,NA,5.263333,1.331667,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.412777,31343,2.204444,0.095845,1.705556,0.074155,0.139789,0.112222,0.004879,8.498088,0.117733,5.473333,0.237971,0.178889,0.366667,0.000000,0.000000,0.000000,0.000000,2.861111,2.170000,NA,4.998889,2.316111,
4,cube0,15.947222,28705,0.237778,0.010338,0.675000,0.029348,4.348333,0.189058,2.076111,0.090266,15.618108,5.069445,0.220411,6.019905,0.000000,12.601111,0.547874,0.172222,0.476667,0.000000,0.000000,0.000000,0.000000,0.110000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.448889,NA,NA,
