block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,15.790000,28422,8.897792,6.238068,5.591829,2.755859,22,0.030909,14,0.111793,18,0.183460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.362904,34.000000,0.728426,0.000000,0.000000,32.000000,0.653185,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.686666,35436,1.073503,3.434142,3.882770,1.100207,12,0.145657,5,0.036717,90.875000,25.750000,NA,NA,NA,NA,NA,NA,NA,NA,80.375000,1.560548,25.125000,0.574680,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.780001,32004,0.042726,0.010682,0.437947,0.069431,2,0.128788,2,0.006465,10.250000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.004854,1.000000,0.022873,
1,cube0,16.211111,29180,8.897792,6.238068,5.591829,2.755859,22,0.030581,14,0.095505,18,0.148030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.362904,34.000000,0.728426,0.000000,0.000000,32.000000,0.653185,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.218889,30994,0.731691,0.699646,1.057481,0.758395,4,0.134899,4,0.018434,24.750000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.317934,17.125000,0.391698,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.876667,30378,0.042726,0.010682,0.400561,0.069431,2,0.135177,2,0.042929,9.375000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.004854,1.000000,0.022873,
2,cube0,14.173333,25512,8.897792,6.238068,5.591829,2.755859,22,0.032727,14,0.193611,18,0.149621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.362904,34.000000,0.728426,0.000000,0.000000,32.000000,0.653185,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.889444,30401,0.731691,0.699646,1.009413,0.758395,4,0.140833,4,0.020758,23.625000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.317934,17.125000,0.391698,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.829445,30293,0.042726,0.010682,0.384538,0.069431,2,0.103106,2,0.006061,9.000000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.004854,1.000000,0.022873,
3,cube0,15.022223,27040,8.897792,6.238068,5.591829,2.755859,22,0.031035,14,0.151364,18,0.101338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.362904,34.000000,0.728426,0.000000,0.000000,32.000000,0.653185,NA,NA,NA,NA,
