block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,13.663889,24595,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.088333,32559,0.211194,0.008889,0.000000,0.001333,0.000000,0.059611,41792,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.161112,29090,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
1,cube0,13.715555,24688,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.305555,27550,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.254444,27458,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
2,cube0,13.902223,25024,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.355000,27639,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.244445,27440,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
3,cube0,13.716666,24690,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.222777,27401,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.226666,27408,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
4,cube0,12.885000,23193,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.777779,32000,0.211194,0.008889,0.000000,0.001333,0.000000,0.059611,41792,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.898334,28617,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
5,cube0,13.002222,23404,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.173333,27312,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.172222,27310,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
6,cube0,13.642222,24556,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.127222,27229,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.125556,27226,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
7,cube0,14.335000,25803,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.298889,27538,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.106667,27192,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
8,cube0,6.132778,11039,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.102777,27185,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.056666,27102,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
9,cube0,6.085556,10954,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.050000,27090,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.033334,27060,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
10,cube0,6.257222,11263,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.058333,27105,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.040000,27072,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
11,cube0,6.387778,11498,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.059444,27107,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.026111,27047,0.110139,0.000000,0.000000,0.002778,0.000000,0.107333,18048,
12,cube0,6.131667,11037,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.047778,27086,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.014444,27026,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
13,cube0,6.152778,11075,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.042778,27077,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.008333,27015,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
14,cube0,6.439445,11591,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.028334,27051,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.996111,26993,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
15,cube0,6.485556,11674,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.021667,27039,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.986111,26975,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
16,cube0,7.133889,12841,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.015555,27028,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.964444,26936,0.109889,0.000000,0.000000,0.002778,0.000000,0.107083,18048,
