block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,16.469444,29645,2,128,10,514,12,511,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.559444,37007,2,50,353,7,352,10,3.846154,97.645432,91.343666,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.693890,33649,1,2,38,3,42,0,33.333332,96.385544,94.186043,
1,cube0,16.780001,30204,1,129,10,514,11,512,0.769231,2.005731,1.869159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.012777,32423,2,34,103,1,97,1,5.555555,99.009903,84.873947,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.772223,31990,1,2,32,3,35,2,33.333332,93.055557,90.666664,
2,cube0,16.344999,29421,2,128,11,512,11,513,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.737223,31927,2,34,100,1,98,1,5.555555,99.000000,84.745766,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.714445,31886,1,2,39,1,32,1,33.333332,97.260277,94.736839,
3,cube0,16.339445,29411,2,128,3,520,2,522,1.538462,0.477555,0.594732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.715000,31887,2,34,86,2,94,3,5.555555,97.297295,82.352943,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.697222,31855,1,2,23,1,24,0,33.333332,97.916664,94.117645,
4,cube0,15.734445,28322,2,128,9,514,13,511,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
