block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,16.267778,29282,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,20.200556,36361,9.916512,17.244291,0.003914,0.008481,
0,vector1,NA,NA,18.271667,32889,0.146138,5.532370,0.003914,0.002610,
1,cube0,15.584444,28052,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,17.397778,31316,4.175374,9.227575,0.003914,0.008481,
1,vector1,NA,NA,17.364445,31256,0.146138,5.532370,0.003914,0.002610,
2,cube0,16.280001,29304,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,17.849445,32129,4.175374,9.227575,0.003914,0.008481,
2,vector1,NA,NA,17.434999,31383,0.146138,5.532370,0.003914,0.002610,
3,cube0,15.356112,27641,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,17.322779,31181,4.175374,9.227575,0.003914,0.008481,
3,vector1,NA,NA,17.321112,31178,0.146138,5.532370,0.003914,0.002610,
4,cube0,15.642222,28156,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,19.917223,35851,9.916512,17.244291,0.003914,0.008481,
4,vector1,NA,NA,17.985001,32373,0.146138,5.532370,0.003914,0.002610,
5,cube0,15.450556,27811,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,17.253889,31057,4.175374,9.227575,0.003914,0.008481,
5,vector1,NA,NA,17.249445,31049,0.146138,5.532370,0.003914,0.002610,
6,cube0,15.384444,27692,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,17.221666,30999,4.175374,9.227575,0.003914,0.008481,
6,vector1,NA,NA,17.220556,30997,0.146138,5.532370,0.003914,0.002610,
7,cube0,15.543333,27978,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,17.218334,30993,4.175374,9.227575,0.003914,0.008481,
7,vector1,NA,NA,17.201111,30962,0.146138,5.532370,0.003914,0.002610,
8,cube0,6.007778,10814,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,17.186666,30936,0.146138,5.532370,0.003914,0.002610,
8,vector1,NA,NA,17.171667,30909,0.146138,5.532370,0.003914,0.002610,
9,cube0,6.296667,11334,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,17.151112,30872,0.146138,5.532370,0.003914,0.002610,
9,vector1,NA,NA,17.137777,30848,0.146138,5.532370,0.003914,0.002610,
10,cube0,6.144444,11060,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,17.160000,30888,0.146138,5.532370,0.003914,0.002610,
10,vector1,NA,NA,17.125555,30826,0.146138,5.532370,0.003914,0.002610,
11,cube0,6.592222,11866,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,17.146111,30863,0.146138,5.532370,0.003914,0.002610,
11,vector1,NA,NA,17.112223,30802,0.146138,5.532370,0.003914,0.002610,
12,cube0,6.074444,10934,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,17.141666,30855,0.146138,5.532370,0.003914,0.002610,
12,vector1,NA,NA,17.108334,30795,0.146138,5.532370,0.003914,0.002610,
13,cube0,6.147778,11066,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,17.128334,30831,0.146138,5.532370,0.003914,0.002610,
13,vector1,NA,NA,17.091667,30765,0.146138,5.532370,0.003914,0.002610,
14,cube0,6.232778,11219,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,17.121111,30818,0.146138,5.532370,0.003914,0.002610,
14,vector1,NA,NA,17.087778,30758,0.146138,5.532370,0.003914,0.002610,
15,cube0,6.380000,11484,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,17.114445,30806,0.146138,5.532370,0.003914,0.002610,
15,vector1,NA,NA,17.062222,30712,0.146138,5.532370,0.003914,0.002610,
16,cube0,6.628889,11932,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,17.108334,30795,0.146138,5.532370,0.003914,0.002610,
16,vector1,NA,NA,17.056110,30701,0.146138,5.532370,0.003914,0.002610,
17,cube0,6.793889,12229,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,17.100555,30781,0.146138,5.532370,0.003914,0.002610,
17,vector1,NA,NA,17.051666,30693,0.146138,5.532370,0.003914,0.002610,
18,cube0,6.684444,12032,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,17.092777,30767,0.146138,5.532370,0.003914,0.002610,
18,vector1,NA,NA,17.044445,30680,0.146138,5.532370,0.003914,0.002610,
19,cube0,6.662222,11992,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,17.069445,30725,0.146138,5.532370,0.003914,0.002610,
19,vector1,NA,NA,17.017778,30632,0.146138,5.532370,0.003914,0.002610,
