block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,20.276112,36497,16.294525,6.107465,5.638272,13.248746,38,0.059234,46,0.216245,18,0.028161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.313434,34.000000,0.542311,0.000000,0.000000,384.000000,5.835529,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.553888,45997,0.131215,8.183049,8.274502,0.135191,18,0.090000,4,0.020556,260.125000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.718554,4.125000,0.070244,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.552221,45994,0.087477,4.095500,4.186954,0.095429,10,0.095670,3,0.013448,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.861084,2.750000,0.046829,
1,cube0,23.761110,42770,16.294525,6.107465,5.638272,13.248746,38,0.059559,46,0.195575,18,0.110670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.313434,34.000000,0.542311,0.000000,0.000000,384.000000,5.835529,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.517221,45931,0.147120,8.183049,8.274502,0.139168,18,0.146475,4,0.024885,260.125000,4.375000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.718554,4.625000,0.078758,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.520555,45937,0.091453,4.095500,4.186954,0.095429,10,0.105153,3,0.014598,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.861084,2.875000,0.048958,
2,cube0,25.187222,45337,16.294525,6.107465,5.638272,13.248746,38,0.059119,46,0.211743,18,0.066609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.313434,34.000000,0.542311,0.000000,0.000000,384.000000,5.835529,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.489445,45881,0.143144,8.183049,8.274502,0.135191,18,0.156322,4,0.017529,260.125000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.718554,4.500000,0.076629,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.512777,45923,0.075548,4.095500,4.186954,0.095429,10,0.100345,3,0.014004,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.861084,2.375000,0.040443,
3,cube0,24.818890,44674,16.294525,6.107465,5.638272,13.248746,38,0.059444,46,0.202261,18,0.063544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.313434,34.000000,0.542311,0.000000,0.000000,384.000000,5.835529,NA,NA,NA,NA,
