block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,20.400000,36720,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,25.251667,45453,36.183758,28.885374,0.003041,0.002027,
0,vector1,NA,NA,25.200001,45360,18.148645,16.591656,0.003041,0.002027,
1,cube0,23.708334,42675,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,25.212778,45383,36.183758,28.885374,0.003041,0.002027,
1,vector1,NA,NA,25.162777,45293,18.148645,16.591656,0.003041,0.002027,
2,cube0,24.002222,43204,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,25.186666,45336,36.183758,28.885374,0.003041,0.002027,
2,vector1,NA,NA,25.136667,45246,18.148645,16.591656,0.003041,0.002027,
3,cube0,22.162777,39893,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,25.157778,45284,36.183758,28.885374,0.003041,0.002027,
3,vector1,NA,NA,25.110556,45199,18.148645,16.591656,0.003041,0.002027,
4,cube0,21.529444,38753,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,25.120556,45217,36.183758,28.885374,0.003041,0.002027,
4,vector1,NA,NA,25.070000,45126,18.148645,16.591656,0.003041,0.002027,
5,cube0,22.097778,39776,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,25.095556,45172,36.183758,28.885374,0.003041,0.002027,
5,vector1,NA,NA,25.047222,45085,18.148645,16.591656,0.003041,0.002027,
6,cube0,23.239445,41831,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,25.064444,45116,36.183758,28.885374,0.003041,0.002027,
6,vector1,NA,NA,25.031111,45056,18.148645,16.591656,0.003041,0.002027,
7,cube0,23.399445,42119,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,25.022223,45040,36.183758,28.885374,0.003041,0.002027,
7,vector1,NA,NA,25.021111,45038,18.148645,16.591656,0.003041,0.002027,
8,cube0,21.761110,39170,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,24.983889,44971,36.183758,28.885374,0.003041,0.002027,
8,vector1,NA,NA,24.984444,44972,18.148645,16.591656,0.003041,0.002027,
9,cube0,21.639999,38952,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,24.968889,44944,36.183758,28.885374,0.003041,0.002027,
9,vector1,NA,NA,24.968889,44944,18.148645,16.591656,0.003041,0.002027,
10,cube0,22.416666,40350,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,24.950556,44911,36.183758,28.885374,0.003041,0.002027,
10,vector1,NA,NA,24.949444,44909,18.148645,16.591656,0.003041,0.002027,
11,cube0,23.195555,41752,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,24.939444,44891,36.183758,28.885374,0.003041,0.002027,
11,vector1,NA,NA,24.939444,44891,18.148645,16.591656,0.003041,0.002027,
12,cube0,22.055000,39699,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,24.934999,44883,36.183758,28.885374,0.003041,0.002027,
12,vector1,NA,NA,24.919445,44855,18.148645,16.591656,0.003041,0.002027,
13,cube0,22.382778,40289,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,24.921667,44859,36.183758,28.885374,0.003041,0.002027,
13,vector1,NA,NA,24.905556,44830,18.148645,16.591656,0.003041,0.002027,
14,cube0,22.806110,41051,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,24.920555,44857,36.183758,28.885374,0.003041,0.002027,
14,vector1,NA,NA,24.905001,44829,18.148645,16.591656,0.003041,0.002027,
15,cube0,22.326666,40188,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,24.933889,44881,36.183758,28.885374,0.003041,0.002027,
15,vector1,NA,NA,24.898333,44817,18.148645,16.591656,0.003041,0.002027,
16,cube0,23.780001,42804,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,24.919445,44855,36.183758,28.885374,0.003041,0.002027,
16,vector1,NA,NA,24.883333,44790,18.148645,16.591656,0.003041,0.002027,
17,cube0,23.987778,43178,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,24.896667,44814,36.183758,28.885374,0.003041,0.002027,
17,vector1,NA,NA,24.865555,44758,18.148645,16.591656,0.003041,0.002027,
18,cube0,24.693890,44449,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,24.889999,44802,36.183758,28.885374,0.003041,0.002027,
18,vector1,NA,NA,24.854445,44738,18.148645,16.591656,0.003041,0.002027,
19,cube0,24.328888,43792,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,24.873888,44773,36.183758,28.885374,0.003041,0.002027,
19,vector1,NA,NA,24.840555,44713,18.148645,16.591656,0.003041,0.002027,
