block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,20.325556,36586,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.010000,45018,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.016111,45029,
1,cube0,23.340000,42012,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.966110,44939,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.992777,44987,
2,cube0,24.796112,44633,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.943333,44898,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.957777,44924,
3,cube0,21.995556,39592,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.903334,44826,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.928888,44872,
4,cube0,20.847221,37525,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.878334,44781,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.898890,44818,
5,cube0,21.183889,38131,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.864445,44756,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.848888,44728,
6,cube0,21.787222,39217,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.849445,44729,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.818333,44673,
7,cube0,22.736111,40925,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.816668,44670,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.802778,44645,
8,cube0,21.128889,38032,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.801666,44643,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.762222,44572,
9,cube0,22.139444,39851,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.761110,44570,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.744444,44540,
10,cube0,22.041111,39674,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.746666,44544,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.742777,44537,
11,cube0,20.861111,37550,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.725555,44506,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.727222,44509,
12,cube0,21.625000,38925,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.711666,44481,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.725555,44506,
13,cube0,22.634445,40742,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.711111,44480,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.739445,44531,
14,cube0,22.455000,40419,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.702778,44465,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.723888,44503,
15,cube0,23.107222,41593,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.690556,44443,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.702223,44464,
16,cube0,23.055555,41500,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.671112,44408,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.695555,44452,
17,cube0,24.067778,43322,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.660000,44388,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.680555,44425,
18,cube0,24.455000,44019,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.647223,44365,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.691111,44444,
19,cube0,24.412777,43943,12.627711,6.313856,50.510845,8.418474,0.000000,12.627711,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,24.639999,44352,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,24.686111,44435,
