block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,19.862223,35752,1,833,3,708,2,705,0.119904,0.352609,0.266430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.118889,45214,7,6,1040,5,1046,5,53.846153,99.522903,99.241348,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.070555,45127,3,5,534,2,530,1,37.500000,99.718842,99.255814,
1,cube0,23.843889,42919,2,832,3,704,6,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.078333,45141,7,7,1050,0,1043,1,50.000000,99.952248,99.620491,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.026112,45047,5,4,530,1,537,1,55.555557,99.812912,99.443413,
2,cube0,24.870556,44767,2,832,7,704,2,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.048334,45087,6,7,1035,1,1055,1,46.153847,99.904396,99.572449,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.000000,45000,3,5,542,1,524,0,37.500000,99.906281,99.441864,
3,cube0,24.166111,43499,2,832,3,704,6,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.018333,45033,7,7,1048,1,1046,1,50.000000,99.904579,99.573463,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.986111,44975,4,5,533,0,529,2,44.444443,99.812027,99.347626,
4,cube0,23.759445,42767,1,833,5,704,4,705,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.980000,44964,8,6,1041,2,1051,1,57.142857,99.856804,99.573257,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.947222,44905,5,4,537,1,527,1,55.555557,99.812386,99.441864,
5,cube0,21.953333,39516,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.923334,44862,7,7,1051,0,1042,1,50.000000,99.952248,99.620491,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.916111,44849,2,6,529,1,536,0,25.000000,99.906189,99.348228,
6,cube0,22.152779,39875,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.927221,44869,7,6,1043,1,1050,1,53.846153,99.904533,99.620491,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.913334,44844,5,4,539,0,528,1,55.555557,99.906364,99.535744,
7,cube0,23.145000,41661,2,832,3,706,5,704,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.886667,44796,7,7,1051,2,1042,0,50.000000,99.904533,99.573257,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.887222,44797,3,5,528,1,540,0,37.500000,99.906456,99.442894,
8,cube0,21.141111,38054,2,832,6,704,3,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.861666,44751,9,6,1053,0,1041,1,60.000000,99.952271,99.668243,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.860556,44749,3,5,528,0,538,1,37.500000,99.906281,99.441864,
9,cube0,20.530556,36955,1,833,3,704,5,706,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.841110,44714,7,7,1051,1,1042,1,50.000000,99.904533,99.573257,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.822779,44681,4,5,529,1,537,0,44.444443,99.906281,99.442383,
10,cube0,21.412777,38543,2,832,3,705,6,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.828888,44692,7,6,1054,1,1039,1,53.846153,99.904533,99.620491,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.814444,44666,2,5,524,2,541,0,28.571428,99.812561,99.348228,
11,cube0,21.564444,38816,2,832,3,705,6,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.826666,44688,7,7,1050,1,1044,0,50.000000,99.952271,99.620674,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.811111,44660,5,4,530,0,536,1,55.555557,99.906281,99.535316,
12,cube0,21.828888,39292,1,833,4,704,5,705,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.837223,44707,7,7,1048,0,1045,1,50.000000,99.952248,99.620491,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.802778,44645,5,4,533,1,532,0,55.555557,99.906189,99.534882,
13,cube0,22.416111,40349,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.824444,44684,7,7,1040,0,1053,2,50.000000,99.904533,99.573257,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.788889,44620,2,6,541,1,526,1,25.000000,99.812912,99.257195,
14,cube0,22.331112,40196,2,832,3,706,5,704,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
