block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,20.360001,36648,1.802222,0.062146,1.718333,0.059253,6.574444,0.226705,0.931111,0.032107,34.823910,7.660555,0.264157,47.804752,0.000000,9.455000,0.326034,0.262222,0.912222,3.551111,0.000000,0.000000,0.205556,0.118333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.145555,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.772223,46390,6.723333,0.231839,3.040000,0.104828,80.701553,0.615556,0.021226,6.390823,0.013789,6.959445,0.239981,0.534444,1.412778,0.000000,0.000000,0.000000,2.160556,0.468333,0.927222,NA,8.695000,1.470000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.721111,46298,4.460556,0.153812,2.570000,0.088621,47.776485,0.439444,0.015153,5.968000,0.018389,5.895000,0.203276,0.362222,0.948889,0.000000,0.000000,0.000000,1.258889,0.361667,0.928889,NA,8.525000,5.088889,
1,cube0,21.633888,38941,1.802222,0.062146,1.719444,0.059291,6.565556,0.226398,3.275556,0.112950,9.899061,7.651111,0.263831,47.863758,0.000000,9.803889,0.338065,0.268333,0.935000,2.900556,0.000000,0.000000,0.205556,0.141667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.782222,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.733889,46321,6.723333,0.231839,3.462222,0.119387,70.859894,0.543333,0.018736,8.117933,0.013410,6.236667,0.215057,0.542778,1.434444,0.000000,0.000000,0.000000,2.028889,1.346111,1.676667,NA,9.359445,4.465556,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.683889,46231,4.460556,0.153812,3.150556,0.108640,38.972668,0.448333,0.015460,6.115570,0.017603,4.764444,0.164291,0.370556,0.970556,0.000000,0.000000,0.000000,1.158333,0.930556,1.789444,NA,8.898334,6.990556,
2,cube0,23.507778,42314,1.802222,0.062146,1.723333,0.059425,6.092778,0.210096,2.150556,0.074157,15.077465,7.224444,0.249119,50.690536,0.000000,13.698889,0.472375,0.274444,0.956667,2.883333,0.000000,0.000000,0.205556,0.112222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.969444,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.707777,46274,6.723333,0.231839,4.202778,0.144923,58.373943,0.512222,0.017663,8.378267,0.013027,7.046667,0.242989,0.548333,1.455000,0.000000,0.000000,0.000000,3.085000,1.878333,1.975000,NA,10.541667,4.245555,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.656666,46182,4.467222,0.154042,3.112778,0.107337,39.445656,0.433333,0.014943,5.226869,0.015781,7.033333,0.242529,0.372222,0.993333,0.000000,0.000000,0.000000,1.087778,2.027778,2.436111,NA,8.118333,6.861667,
3,cube0,23.535000,42363,1.802222,0.062146,1.710000,0.058966,5.843889,0.201513,1.808333,0.062356,17.930836,6.984445,0.240843,52.432362,0.000000,13.504444,0.465670,0.278889,0.978889,2.772222,0.000000,0.000000,0.210556,0.142222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.197778,NA,NA,
