block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,21.213888,38185,0.220972,0.226885,0.070417,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,25.176666,45318,0.055317,0.034048,0.012937,0.008333,0.000000,0.056270,0.012341,0.075496,
0,vector1,NA,NA,NA,NA,NA,NA,25.141666,45255,0.027659,0.017024,0.006468,0.004167,0.000000,0.034385,0.006171,0.075536,
1,cube0,24.502777,44105,0.232857,0.238929,0.063492,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,25.142221,45256,0.055317,0.034048,0.012937,0.008333,0.000000,0.082004,0.012341,0.075516,
1,vector1,NA,NA,NA,NA,NA,NA,25.107779,45194,0.027659,0.017024,0.006468,0.004167,0.000000,0.040476,0.006171,0.075516,
2,cube0,24.516111,44129,0.233353,0.239425,0.070456,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,25.139999,45252,0.055317,0.034048,0.012937,0.008333,0.000000,0.085714,0.012341,0.075516,
2,vector1,NA,NA,NA,NA,NA,NA,25.089445,45161,0.027659,0.017024,0.006468,0.004167,0.000000,0.037202,0.006171,0.075536,
3,cube0,24.858889,44746,0.239067,0.245139,0.070595,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,25.104445,45188,0.055317,0.034048,0.012937,0.008333,0.000000,0.086488,0.012341,0.075536,
3,vector1,NA,NA,NA,NA,NA,NA,25.053888,45097,0.027659,0.017024,0.006468,0.004167,0.000000,0.049762,0.006171,0.075536,
4,cube0,21.148890,38068,0.262024,0.268095,0.072937,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,25.071667,45129,0.055317,0.034048,0.012937,0.008333,0.000000,0.056865,0.012341,0.075516,
4,vector1,NA,NA,NA,NA,NA,NA,25.020555,45037,0.027659,0.017024,0.006468,0.004167,0.000000,0.038929,0.006171,0.075516,
5,cube0,21.777222,39199,0.239425,0.245496,0.061865,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,25.052221,45094,0.055317,0.034048,0.012937,0.008333,0.000000,0.059722,0.012341,0.075536,
5,vector1,NA,NA,NA,NA,NA,NA,25.003334,45006,0.027659,0.017024,0.006468,0.004167,0.000000,0.036607,0.006171,0.075536,
