block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,30.746111,55343,0.156072,0.150917,0.059922,0.000917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,39.504444,71108,0.072907,0.038140,0.010349,0.024419,0.000000,0.087519,0.007687,0.136047,
0,vector1,NA,NA,NA,NA,NA,NA,37.924446,68264,0.048605,0.025426,0.006899,0.016279,0.000000,0.097907,0.004419,0.107158,
1,cube0,32.062778,57713,0.138747,0.137416,0.050233,0.000917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,33.666111,60599,0.072907,0.038140,0.010349,0.024419,0.000000,0.041202,0.000000,0.136059,
1,vector1,NA,NA,NA,NA,NA,NA,33.647778,60566,0.048605,0.025426,0.006899,0.016279,0.000000,0.036576,0.000000,0.107132,
2,cube0,31.343334,56418,0.152532,0.148630,0.054961,0.000917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,39.682777,71429,0.072907,0.038140,0.010349,0.024419,0.000000,0.087377,0.010000,0.136072,
2,vector1,NA,NA,NA,NA,NA,NA,37.994446,68390,0.048605,0.025426,0.006899,0.016279,0.000000,0.082933,0.004987,0.107041,
3,cube0,32.278332,58101,0.155517,0.148618,0.053566,0.000917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,33.593334,60468,0.072907,0.038140,0.010349,0.024419,0.000000,0.039406,0.000000,0.136008,
