block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,30.174999,54315,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.167221,70501,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.598888,67678,
1,cube0,31.378334,56481,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.296665,59934,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.286110,59915,
2,cube0,31.184444,56132,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.084999,70353,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.551666,67593,
3,cube0,31.909445,57437,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.238335,59829,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.243889,59839,
4,cube0,31.771111,57188,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.134445,70442,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.555000,67599,
5,cube0,30.918888,55654,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.207779,59774,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.145000,59661,
6,cube0,31.635000,56943,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38.942780,70097,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.297222,67135,
7,cube0,31.576666,56838,17.160431,8.580215,68.641724,8.580215,0.000000,17.160431,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.136665,59646,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.101665,59583,
8,cube0,24.990555,44983,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.553890,71197,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.680557,67825,
9,cube0,25.128334,45231,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.106667,59592,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.046665,59484,
10,cube0,25.336666,45606,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.072777,59531,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.041111,59474,
11,cube0,24.480000,44064,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.536667,71166,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.742779,67937,
12,cube0,24.956667,44922,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.049446,59489,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.018333,59433,
13,cube0,25.357779,45644,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.047222,59485,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,33.027779,59450,
14,cube0,24.264999,43677,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.533890,71161,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.764999,67977,
15,cube0,24.657778,44384,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.006111,59411,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,32.987778,59378,
16,cube0,24.293888,43729,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33.008888,59416,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,32.991112,59384,
17,cube0,25.986111,46775,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39.686668,71436,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.798332,68037,
18,cube0,26.134445,47042,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32.970554,59347,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,32.970001,59346,
19,cube0,25.794445,46430,11.440288,5.720144,45.761150,5.720144,0.000000,11.440288,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32.959446,59327,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,32.974998,59355,
