block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,31.561111,56810,18.372213,9.492402,9.155753,17.676840,54,0.065827,30,0.125207,18,0.025052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.503334,71106,1.619779,11.710975,11.879299,1.639095,50,0.187455,11,0.035607,538.125000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.321719,73.375000,0.867119,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.769444,67985,1.087211,7.809156,7.974721,1.106527,34,0.130284,8,0.029910,361.250000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.548649,49.250000,0.582019,
1,cube0,31.782778,57209,18.372213,9.492402,9.155753,17.676840,54,0.065375,30,0.132506,18,0.039289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.546112,60383,1.089971,9.591741,9.693839,1.109287,38,0.143708,8,0.023191,439.125000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.358694,49.375000,0.583496,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.578335,60441,0.734006,6.396334,6.528786,0.753321,26,0.065220,6,0.016163,295.750000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,2.906632,33.250000,0.392937,
2,cube0,32.222221,58000,18.372213,9.492402,9.155753,17.676840,54,0.067532,30,0.124935,18,0.050646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.537224,71167,1.619779,11.710975,11.890338,1.639095,50,0.167041,11,0.037662,538.625000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.321719,73.375000,0.867119,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.818890,68074,1.087211,7.809156,7.977481,1.106527,34,0.111279,8,0.027959,361.375000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.548649,49.250000,0.582019,
3,cube0,32.201111,57962,18.372213,9.492402,9.155753,17.676840,54,0.065827,30,0.127804,18,0.063320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
