block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,30.406111,54731,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,39.042778,70277,60.604343,63.961250,0.002109,0.010894,
0,vector1,NA,NA,37.460556,67429,40.429134,43.634224,0.002109,0.007732,
1,cube0,30.791111,55424,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,33.113888,59605,51.393917,51.005932,0.002109,0.010894,
1,vector1,NA,NA,33.051666,59493,34.288853,34.997349,0.002109,0.007732,
2,cube0,31.155001,56079,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,38.815556,69868,60.604343,63.961250,0.002109,0.010894,
2,vector1,NA,NA,37.141666,66855,40.429134,43.634224,0.002109,0.007732,
3,cube0,31.309999,56358,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,33.023888,59443,51.393917,51.005932,0.002109,0.010894,
3,vector1,NA,NA,32.972778,59351,34.288853,34.997349,0.002109,0.007732,
4,cube0,30.436111,54785,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,38.866665,69960,60.604343,63.961250,0.002109,0.010894,
4,vector1,NA,NA,37.171112,66908,40.429134,43.634224,0.002109,0.007732,
5,cube0,31.424444,56564,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,33.012222,59422,51.393917,51.005932,0.002109,0.010894,
5,vector1,NA,NA,32.947777,59306,34.288853,34.997349,0.002109,0.007732,
6,cube0,31.557222,56803,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,38.725555,69706,60.604343,63.961250,0.002109,0.010894,
6,vector1,NA,NA,37.124443,66824,40.429134,43.634224,0.002109,0.007732,
7,cube0,31.641666,56955,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,32.932777,59279,51.393917,51.005932,0.002109,0.010894,
7,vector1,NA,NA,32.904446,59228,34.288853,34.997349,0.002109,0.007732,
8,cube0,24.764444,44576,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,39.393333,70908,44.072819,49.032272,0.002109,0.010894,
8,vector1,NA,NA,37.580002,67644,29.408119,33.681576,0.002109,0.007732,
9,cube0,24.841110,44714,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,32.881668,59187,34.288853,34.997349,0.002109,0.010894,
9,vector1,NA,NA,32.864445,59156,22.885477,24.324957,0.002109,0.007732,
10,cube0,24.763334,44574,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,32.863888,59155,34.288853,34.997349,0.002109,0.010894,
10,vector1,NA,NA,32.841667,59115,22.885477,24.324957,0.002109,0.007732,
11,cube0,24.855556,44740,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,39.305557,70750,44.072819,49.032272,0.002109,0.010894,
11,vector1,NA,NA,37.523335,67542,29.408119,33.681576,0.002109,0.007732,
12,cube0,24.936111,44885,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,32.845001,59121,34.288853,34.997349,0.002109,0.010894,
12,vector1,NA,NA,32.826111,59087,22.885477,24.324957,0.002109,0.007732,
13,cube0,25.395555,45712,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,32.839443,59111,34.288853,34.997349,0.002109,0.010894,
13,vector1,NA,NA,32.814999,59067,22.885477,24.324957,0.002109,0.007732,
14,cube0,25.273333,45492,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,39.410000,70938,44.072819,49.032272,0.002109,0.010894,
14,vector1,NA,NA,37.638332,67749,29.408119,33.681576,0.002109,0.007732,
15,cube0,26.026112,46847,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,32.798332,59037,34.288853,34.997349,0.002109,0.010894,
15,vector1,NA,NA,32.812222,59062,22.885477,24.324957,0.002109,0.007732,
16,cube0,25.622778,46121,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,32.799999,59040,34.288853,34.997349,0.002109,0.010894,
16,vector1,NA,NA,32.801109,59042,22.885477,24.324957,0.002109,0.007732,
17,cube0,25.720556,46297,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,39.533333,71160,44.072819,49.032272,0.002109,0.010894,
17,vector1,NA,NA,37.652779,67775,29.408119,33.681576,0.002109,0.007732,
18,cube0,25.652779,46175,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,32.771667,58989,34.288853,34.997349,0.002109,0.010894,
18,vector1,NA,NA,32.772778,58991,22.885477,24.324957,0.002109,0.007732,
19,cube0,26.196667,47154,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,32.771111,58988,34.288853,34.997349,0.002109,0.010894,
19,vector1,NA,NA,32.776112,58997,22.885477,24.324957,0.002109,0.007732,
