block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,30.406111,54731,3.556667,0.084683,2.865556,0.068228,8.690556,0.206918,2.310000,0.055000,14.449612,10.679444,0.254272,68.582397,0.000000,15.376111,0.366098,0.261111,0.942778,4.776667,0.000000,0.000000,0.000000,0.127778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.920555,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.042778,70277,23.014444,0.547963,8.154445,0.194153,62.042755,1.565556,0.037275,44.697140,0.014290,8.923333,0.212460,1.265556,2.813889,0.000000,0.000000,0.000000,12.846666,0.168889,3.680000,NA,7.146667,1.687222,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.460556,67429,16.075556,0.382751,5.953889,0.141759,56.662510,1.867222,0.044458,25.154190,0.017987,8.063889,0.191997,0.922222,2.061111,0.000000,0.000000,0.000000,7.021667,0.177778,3.647778,NA,7.991667,7.460000,
1,cube0,30.791111,55424,3.556667,0.084683,2.892778,0.068876,6.984445,0.166296,1.827222,0.043505,18.267401,9.029445,0.214987,81.114830,0.000000,14.432222,0.343624,0.261667,0.950000,2.675000,0.000000,0.000000,0.000000,0.095556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.276667,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.113888,59605,19.392778,0.461733,8.125000,0.193452,50.999569,1.028333,0.024484,45.790276,0.016090,9.147778,0.217804,1.183333,2.678889,0.000000,0.000000,0.000000,13.042222,0.171667,4.106111,NA,6.712778,0.511667,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.051666,59493,13.661111,0.325265,6.310555,0.150251,43.788082,0.803333,0.019127,39.472622,0.020591,8.106112,0.193003,0.862778,1.957778,0.000000,0.000000,0.000000,7.375556,0.133333,3.189445,NA,6.123333,5.953889,
2,cube0,31.155001,56079,3.556667,0.084683,2.888889,0.068783,5.705000,0.135833,2.300555,0.054775,14.508932,7.766667,0.184921,94.303246,0.000000,15.458889,0.368069,0.272222,0.976111,1.541667,0.000000,0.000000,0.000000,0.126111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.067223,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.815556,69868,23.014444,0.547963,9.095555,0.216561,55.623238,1.405556,0.033466,49.785191,0.013757,11.285000,0.268690,1.274444,2.845000,0.000000,0.000000,0.000000,13.206111,0.156667,2.787222,NA,3.762778,0.348889,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.141666,66855,16.075556,0.382751,6.511111,0.155026,51.813320,0.965000,0.022976,48.671978,0.017662,8.947222,0.213029,0.931111,2.092222,0.000000,0.000000,0.000000,7.358333,0.128889,2.758333,NA,7.597222,6.053889,
3,cube0,31.309999,56358,3.556667,0.084683,2.822222,0.067196,5.882778,0.140066,3.193333,0.076032,10.452589,7.968889,0.189735,91.910172,0.000000,16.008888,0.381164,0.272778,0.983333,1.404444,0.000000,0.000000,0.000000,0.106111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.405001,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.023888,59443,19.392778,0.461733,8.401111,0.200026,49.323418,1.060000,0.025238,44.422333,0.016399,10.267222,0.244458,1.193333,2.710000,0.000000,0.000000,0.000000,12.965555,0.356111,3.175555,NA,3.748333,0.311667,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.972778,59351,13.661111,0.325265,6.017778,0.143280,45.918468,0.768889,0.018307,41.240906,0.019991,8.157222,0.194220,0.872778,1.988889,0.000000,0.000000,0.000000,7.220000,0.141667,3.312778,NA,8.015555,5.791667,
4,cube0,30.436111,54785,3.556667,0.084683,2.874444,0.068439,6.473333,0.154127,1.758333,0.041865,18.983091,8.594444,0.204630,85.220390,0.000000,15.098333,0.359484,0.278889,1.006667,1.785000,0.000000,0.000000,0.000000,0.148889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.168333,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.866665,69960,23.014444,0.547963,8.142222,0.193862,62.135895,1.993333,0.047460,35.104942,0.013531,10.679444,0.254272,1.282778,2.872778,0.000000,0.000000,0.000000,12.668333,0.169444,3.330555,NA,5.217778,1.795000,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.171112,66908,16.075556,0.382751,6.420556,0.152870,52.544094,1.770000,0.042143,26.535854,0.017291,9.865556,0.234894,0.939444,2.120000,0.000000,0.000000,0.000000,6.914444,0.143333,3.224444,NA,5.412778,7.205000,
5,cube0,31.424444,56564,3.556667,0.084683,2.823333,0.067222,5.866667,0.139683,3.136111,0.074669,10.643310,7.807778,0.185899,93.806702,0.000000,16.355000,0.389405,0.278333,1.014444,1.448333,0.000000,0.000000,0.000000,0.147222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.766666,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.012222,59422,19.392778,0.461733,6.410555,0.152632,64.638931,1.136667,0.027063,41.426102,0.014449,9.177222,0.218505,1.201667,2.737778,0.000000,0.000000,0.000000,12.462778,0.596667,4.233889,NA,7.519444,0.440556,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.947777,59306,13.661111,0.325265,5.682778,0.135304,48.625362,0.776667,0.018492,40.827904,0.019525,8.959444,0.213320,0.881111,2.016667,0.000000,0.000000,0.000000,6.938334,0.141111,3.525000,NA,5.858889,6.428333,
6,cube0,31.557222,56803,3.556667,0.084683,2.838889,0.067593,5.576667,0.132778,3.065000,0.072976,10.890245,7.578889,0.180450,96.639748,0.000000,15.731667,0.374563,0.283333,1.038333,1.533333,0.000000,0.000000,0.000000,0.112222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.950001,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.725555,69706,23.014444,0.547963,7.613889,0.181283,66.447540,1.812222,0.043148,38.613285,0.013410,10.742222,0.255767,1.289444,2.900556,0.000000,0.000000,0.000000,12.603333,0.170000,3.501111,NA,6.222778,0.682222,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.124443,66824,16.075556,0.382751,6.172778,0.146971,54.653240,1.282778,0.030542,36.614651,0.017094,9.565556,0.227751,0.946111,2.147778,0.000000,0.000000,0.000000,7.027222,0.158889,3.477778,NA,7.727778,6.218333,
7,cube0,31.641666,56955,3.556667,0.084683,2.871667,0.068373,5.498889,0.130926,2.191667,0.052183,15.229781,7.558889,0.179974,96.895439,0.000000,15.569445,0.370701,0.283889,1.045556,1.432778,0.000000,0.000000,0.000000,0.151667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.695000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.932777,59279,19.392778,0.461733,6.874444,0.163677,60.277088,1.148889,0.027354,40.985397,0.015247,9.877778,0.235185,1.208889,2.765556,0.000000,0.000000,0.000000,12.647778,0.169444,3.850000,NA,5.389444,1.859444,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.904446,59228,13.661111,0.325265,5.561666,0.132421,49.684235,0.811667,0.019325,39.067352,0.019239,8.999444,0.214272,0.888333,2.044445,0.000000,0.000000,0.000000,6.938334,0.165556,3.652222,NA,6.193889,7.753889,
8,cube0,24.764444,44576,2.371111,0.056455,1.900000,0.045238,3.430556,0.081680,2.596667,0.061825,12.670771,4.459445,0.106177,109.493736,0.000000,8.757778,0.208519,0.231111,0.826667,1.381111,0.000000,0.000000,0.000000,0.098889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.392221,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.393333,70908,17.711111,0.421693,7.648334,0.182103,54.084492,2.227222,0.053029,31.418442,0.016700,10.466666,0.249206,0.976111,2.200556,0.000000,0.000000,0.000000,8.044444,0.148333,4.013889,NA,3.622778,6.895000,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.580002,67644,12.540000,0.298571,5.515000,0.131310,50.018188,1.042222,0.024815,45.065685,0.020277,8.473333,0.201746,0.734444,1.672778,0.000000,0.000000,0.000000,5.025556,0.250000,3.909444,NA,5.284444,11.279445,
9,cube0,24.841110,44714,2.371111,0.056455,1.910000,0.045476,3.487222,0.083029,2.597778,0.061852,12.665349,4.586111,0.109193,106.469574,0.000000,8.597222,0.204696,0.232778,0.833333,1.491111,0.000000,0.000000,0.000000,0.131667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.067223,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.881668,59187,13.661111,0.325265,6.686111,0.159193,41.328529,1.066111,0.025384,44.167698,0.018376,8.730556,0.207870,0.887222,2.036667,0.000000,0.000000,0.000000,8.280000,0.162778,4.189445,NA,3.596111,7.768333,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.864445,59156,9.840000,0.234286,5.621111,0.133836,32.786678,0.797778,0.018995,39.747498,0.021898,7.156667,0.170397,0.669444,1.550556,0.000000,0.000000,0.000000,5.448889,0.467778,4.380000,NA,5.400556,11.817223,
