block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,32.080002,57744,513,1089,0,1658,2,1658,32.022472,0.060277,10.467480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.426666,70968,4,146,2140,6,2155,6,2.666667,99.721382,96.455017,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.799446,68039,3,98,1443,1,1443,2,2.970297,99.896156,96.622070,
1,cube0,32.120556,57817,514,1088,122,1541,123,1532,32.084892,7.383966,15.426829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.572224,60430,4,98,1761,0,1761,1,3.921569,99.971619,97.268967,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.551109,60392,3,66,1182,2,1182,1,4.347826,99.873260,97.167488,
2,cube0,32.230000,58014,514,1088,124,1542,121,1531,32.084892,7.383966,15.426829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.434444,70982,4,146,2154,0,2155,1,2.666667,99.976799,96.704033,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.753887,67957,3,98,1449,1,1440,0,2.970297,99.965401,96.690071,
3,cube0,31.811111,57260,514,1088,2,1655,3,1658,32.084892,0.150693,10.548780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
