block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,60.471111,108848,0.231014,0.231014,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.928337,125871,0.637470,0.191974,0.000000,0.001637,0.000000,0.069347,1191840,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.692223,123646,0.434925,0.130263,0.000000,0.001171,0.000000,0.049287,800576,
1,cube0,63.708332,114675,0.214302,0.214302,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.275002,126495,0.672455,0.196877,0.000000,0.001682,0.000000,0.078078,1209568,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.761665,123771,0.467042,0.135413,0.000000,0.001216,0.000000,0.058108,817536,
2,cube0,63.199444,113759,0.216449,0.216449,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.845558,127522,0.678273,0.195766,0.000000,0.001674,0.000000,0.077643,1209568,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.232224,124618,0.470886,0.134617,0.000000,0.001209,0.000000,0.057763,817536,
3,cube0,62.267223,112081,0.208011,0.208011,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.233330,128220,0.684039,0.194670,0.000000,0.001659,0.000000,0.077207,1209568,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.158890,124486,0.470886,0.134617,0.000000,0.001209,0.000000,0.057763,817536,
4,cube0,63.106667,113592,0.205300,0.205300,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.862778,125753,0.665563,0.198281,0.000000,0.001697,0.000000,0.078641,1209568,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.447220,123205,0.462402,0.136434,0.000000,0.001224,0.000000,0.058544,817536,
5,cube0,60.871666,109569,0.209617,0.209617,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
