block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,60.471111,108848,3841,2625,1,2886,1,2878,59.403030,0.034686,31.417593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.928337,125871,4,146,8114,8,8132,8,2.666667,99.901611,99.012917,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.692223,123646,3,98,5407,1,5456,1,2.970297,99.981590,99.088089,
1,cube0,63.708332,114675,3842,2624,641,2545,644,2576,59.418495,20.059319,39.830639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.275002,126495,7,242,8146,0,8115,1,2.811245,99.993851,98.528252,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.761665,123771,5,162,5441,1,5423,0,2.994012,99.990799,98.522484,
2,cube0,63.199444,113759,3842,2624,310,2888,335,2873,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.845558,127522,7,242,8116,2,8137,2,2.811245,99.975395,98.509636,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.232224,124618,5,162,5420,0,5442,2,2.994012,99.981590,98.513283,
3,cube0,62.267223,112081,3842,2624,320,2868,325,2893,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.233330,128220,7,242,8142,2,8119,0,2.811245,99.987701,98.522285,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.158890,124486,5,162,5440,2,5423,3,2.994012,99.953995,98.486633,
4,cube0,63.106667,113592,3842,2624,313,2876,332,2885,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.862778,125753,7,242,8125,0,8137,1,2.811245,99.993851,98.528343,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.447220,123205,5,162,5471,2,5390,1,2.994012,99.972389,98.504219,
5,cube0,60.871666,109569,3842,2624,2,2889,3,2872,59.418495,0.086715,31.450294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.903336,116826,4,98,7694,2,7788,2,3.921569,99.974167,99.345650,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.903893,116827,3,66,5164,0,5180,1,4.347826,99.990334,99.356636,
6,cube0,59.590557,107263,3841,2625,245,2648,244,2629,59.403030,8.480749,35.398952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.679443,125423,4,146,8142,0,8120,2,2.666667,99.987701,99.098328,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.384445,123092,3,98,5422,1,5438,1,2.970297,99.981590,99.087837,
7,cube0,61.638332,110949,3842,2624,401,2803,400,2802,59.418495,12.503902,36.070541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.267220,126481,7,242,8135,0,8125,1,2.811245,99.993851,98.528168,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.787781,123818,5,162,5418,1,5445,0,2.994012,99.990799,98.522346,
8,cube0,62.310001,112158,3842,2624,329,2874,316,2887,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.660553,127189,7,242,8152,1,8109,0,2.811245,99.993851,98.528252,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.025558,124246,5,162,5438,1,5424,1,2.994012,99.981590,98.513283,
9,cube0,62.436668,112386,3841,2625,333,2869,312,2892,59.403030,10.068686,34.850838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
