block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,60.471111,108848,46.029343,9.451795,9.255953,41.518551,246,0.185848,87,0.139219,18,0.013979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.928337,125871,0.942290,25.989225,26.104803,0.956737,134,0.288348,11,0.020180,2032.750000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,73.375000,0.504438,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.692223,123646,0.632474,17.327221,17.441195,0.646921,90,0.222470,8,0.013724,1358.125000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,49.250000,0.338584,
1,cube0,63.708332,114675,46.029343,10.479164,10.283322,41.518551,246,0.188228,89,0.128333,18,0.032935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.275002,126495,1.563527,25.989225,26.104803,1.577975,134,0.302605,17,0.031907,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.761665,123771,1.046632,17.327221,17.441195,1.061080,90,0.203093,12,0.020511,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
2,cube0,63.199444,113759,46.029343,10.479164,10.283322,41.518551,246,0.186509,89,0.137740,18,0.042320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.845558,127522,1.563527,25.989225,26.096779,1.577975,134,0.282575,17,0.035053,2032.125000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.232224,124618,1.046632,17.327221,17.439589,1.061080,90,0.211096,12,0.025390,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
3,cube0,62.267223,112081,46.029343,10.479164,10.283322,41.518551,246,0.186209,89,0.151697,18,0.043836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.233330,128220,1.563527,25.989225,26.106409,1.577975,134,0.284129,17,0.033168,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.158890,124486,1.046632,17.327221,17.446009,1.061080,90,0.199925,12,0.025586,1358.500000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
4,cube0,63.106667,113592,46.029343,10.479164,10.283322,41.518551,246,0.185698,89,0.153491,18,0.043108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.862778,125753,1.563527,25.989225,26.106409,1.577975,134,0.290300,17,0.038086,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.447220,123205,1.046632,17.327221,17.439589,1.061080,90,0.199805,12,0.024640,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
5,cube0,60.871666,109569,46.029343,9.451795,9.255953,41.518551,246,0.186509,87,0.143108,18,0.039152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.903336,116826,0.634079,24.756382,24.859119,0.648527,122,0.286824,8,0.013769,1935.750000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.249833,49.375000,0.339443,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.903893,116827,0.427000,16.505325,16.606457,0.441448,82,0.204324,6,0.010113,1293.125000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.500375,33.250000,0.228587,
6,cube0,59.590557,107263,46.029343,9.451795,9.255953,41.518551,246,0.185983,87,0.157665,18,0.028108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.679443,125423,0.942290,25.989225,26.108013,0.956737,134,0.300893,11,0.018739,2033.000000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,73.375000,0.504438,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.384445,123092,0.632474,17.327221,17.436378,0.646921,90,0.210916,8,0.013251,1357.750000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,49.250000,0.338584,
7,cube0,61.638332,110949,46.029343,10.479164,10.283322,41.518551,246,0.186794,89,0.146929,18,0.035781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
