block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,60.471111,108848,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.928337,125871,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.692223,123646,
1,cube0,63.708332,114675,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.275002,126495,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.761665,123771,
2,cube0,63.199444,113759,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.845558,127522,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,69.232224,124618,
3,cube0,62.267223,112081,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,71.233330,128220,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,69.158890,124486,
4,cube0,63.106667,113592,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.862778,125753,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.447220,123205,
5,cube0,60.871666,109569,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.903336,116826,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.903893,116827,
6,cube0,59.590557,107263,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.679443,125423,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.384445,123092,
7,cube0,61.638332,110949,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.267220,126481,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.787781,123818,
8,cube0,62.310001,112158,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.660553,127189,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,69.025558,124246,
9,cube0,62.436668,112386,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,71.197220,128155,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.995003,124191,
10,cube0,61.957779,111524,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.643333,125358,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.301666,122943,
11,cube0,60.058887,108106,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.767776,116582,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.783333,116610,
12,cube0,59.935555,107884,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.759445,125567,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.456108,123221,
13,cube0,62.656666,112782,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.142776,126257,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.635002,123543,
14,cube0,63.238335,113829,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.627777,127130,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,69.086670,124356,
15,cube0,62.687778,112838,41.094761,20.547380,164.379044,24.656857,0.000000,41.094761,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.910004,127638,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.837776,123908,
16,cube0,52.046665,93684,32.875809,16.437904,131.503235,19.725485,0.000000,32.875809,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.707779,116474,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.737778,116528,
17,cube0,51.961113,93530,32.875809,16.437904,131.503235,19.725485,0.000000,32.875809,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.111115,126200,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.741669,123735,
18,cube0,55.287224,99517,32.875809,16.437904,131.503235,19.725485,0.000000,32.875809,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.893890,127609,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.870552,123967,
19,cube0,53.311111,95960,32.875809,16.437904,131.503235,19.725485,0.000000,32.875809,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.686111,116435,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.717781,116492,
