block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,60.471111,108848,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,69.928337,125871,107.864113,84.594208,0.001204,0.006220,
0,vector1,NA,NA,68.692223,123646,71.928673,56.967609,0.001204,0.004414,
1,cube0,63.708332,114675,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,70.275002,126495,108.236534,87.063103,0.001204,0.011638,
1,vector1,NA,NA,68.761665,123771,72.179092,59.131508,0.001204,0.008026,
2,cube0,63.199444,113759,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,70.845558,127522,108.544746,87.679527,0.001204,0.011638,
2,vector1,NA,NA,69.232224,124618,72.384567,59.542454,0.001204,0.008026,
3,cube0,62.267223,112081,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,71.233330,128220,108.843323,88.295944,0.001204,0.011638,
3,vector1,NA,NA,69.158890,124486,72.378143,59.542454,0.001204,0.008026,
4,cube0,63.106667,113592,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,69.862778,125753,107.870537,86.318260,0.001204,0.011638,
4,vector1,NA,NA,68.447220,123205,71.925461,58.630665,0.001204,0.008026,
5,cube0,60.871666,109569,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,64.903336,116826,103.295532,78.638680,0.001204,0.006220,
5,vector1,NA,NA,64.903893,116827,68.878670,52.967293,0.001204,0.004414,
6,cube0,59.590557,107263,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,69.679443,125423,107.870537,84.603844,0.001204,0.006220,
6,vector1,NA,NA,68.384445,123092,71.931877,56.970825,0.001204,0.004414,
7,cube0,61.638332,110949,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,70.267220,126481,108.236534,87.063103,0.001204,0.011638,
7,vector1,NA,NA,68.787781,123818,72.179092,59.131508,0.001204,0.008026,
8,cube0,62.310001,112158,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,70.660553,127189,108.544746,87.679527,0.001204,0.011638,
8,vector1,NA,NA,69.025558,124246,72.384567,59.542454,0.001204,0.008026,
9,cube0,62.436668,112386,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,71.197220,128155,108.843323,88.295944,0.001204,0.011638,
9,vector1,NA,NA,68.995003,124191,72.378143,59.542454,0.001204,0.008026,
10,cube0,61.957779,111524,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,69.643333,125358,107.873749,86.331100,0.001204,0.011638,
10,vector1,NA,NA,68.301666,122943,71.925461,58.630665,0.001204,0.008026,
11,cube0,60.058887,108106,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,64.767776,116582,103.295532,78.638680,0.001204,0.006220,
11,vector1,NA,NA,64.783333,116610,68.878670,52.967293,0.001204,0.004414,
12,cube0,59.935555,107884,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,69.759445,125567,107.870537,84.610260,0.001204,0.006220,
12,vector1,NA,NA,68.456108,123221,71.935097,56.980457,0.001204,0.004414,
13,cube0,62.656666,112782,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,70.142776,126257,108.236534,87.063103,0.001204,0.011638,
13,vector1,NA,NA,68.635002,123543,72.179092,59.131508,0.001204,0.008026,
14,cube0,63.238335,113829,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,70.627777,127130,108.544746,87.679527,0.001204,0.011638,
14,vector1,NA,NA,69.086670,124356,72.384567,59.542454,0.001204,0.008026,
15,cube0,62.687778,112838,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,70.910004,127638,108.843323,88.295944,0.001204,0.011638,
15,vector1,NA,NA,68.837776,123908,72.378143,59.542454,0.001204,0.008026,
16,cube0,52.046665,93684,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,64.707779,116474,82.645416,63.266666,0.001204,0.006220,
16,vector1,NA,NA,64.737778,116528,55.111927,42.719288,0.001204,0.004414,
17,cube0,51.961113,93530,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,70.111115,126200,87.586418,69.970253,0.001204,0.006220,
17,vector1,NA,NA,68.741669,123735,58.412350,47.214027,0.001204,0.004414,
18,cube0,55.287224,99517,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,70.893890,127609,88.193207,72.923935,0.001204,0.011638,
18,vector1,NA,NA,68.870552,123967,58.611397,49.294449,0.001204,0.008026,
19,cube0,53.311111,95960,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,64.686111,116435,82.645416,63.266666,0.001204,0.006220,
19,vector1,NA,NA,64.717781,116492,55.111927,42.719288,0.001204,0.004414,
