block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,60.471111,108848,17.094999,0.231014,13.752778,0.185848,10.302222,0.139219,1.034444,0.013979,33.189095,25.673334,0.346937,118.868774,0.000000,22.143333,0.299234,0.592222,2.785556,11.578333,0.000000,0.000000,0.821667,0.151667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.702221,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.928337,125871,47.172779,0.637470,21.337778,0.288348,90.449829,1.493333,0.020180,46.858829,0.010137,19.023333,0.257072,2.795000,7.135000,0.000000,0.000000,0.000000,33.455002,0.427778,4.356667,NA,7.217778,4.395000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.692223,123646,32.184444,0.434925,16.462778,0.222470,78.160866,1.015556,0.013724,46.249031,0.013676,16.769444,0.226614,2.002222,5.000556,0.000000,0.000000,0.000000,18.305000,0.503333,3.557778,NA,18.391666,11.661667,
1,cube0,63.708332,114675,15.858334,0.214302,13.928889,0.188228,9.496667,0.128333,2.437222,0.032935,14.086641,23.580555,0.318656,129.418396,0.000000,21.728333,0.293626,0.635556,2.859444,11.147778,0.000000,0.000000,0.836111,0.147222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.277222,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.275002,126495,49.761665,0.672455,22.392778,0.302605,86.188438,2.361111,0.031907,49.175934,0.009663,20.901667,0.282455,2.877778,7.276111,0.000000,0.000000,0.000000,34.630001,0.447778,5.568333,NA,6.132778,0.310000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.761665,123771,34.561111,0.467042,15.028889,0.203093,85.618118,1.517778,0.020511,51.209377,0.013263,18.208334,0.246059,2.063333,5.119444,0.000000,0.000000,0.000000,19.122223,0.477778,4.581666,NA,17.923889,7.623889,
2,cube0,63.199444,113759,16.017221,0.216449,13.801666,0.186509,10.192778,0.137740,3.131667,0.042320,10.962941,24.506111,0.331164,124.530487,0.000000,26.320000,0.355676,0.644444,2.883889,11.956111,0.000000,0.000000,0.803889,0.160556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.542778,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.845558,127522,50.192223,0.678273,20.910555,0.282575,92.297806,2.593889,0.035053,44.762848,0.009443,16.688889,0.225526,2.883889,7.298333,0.000000,0.000000,0.000000,33.522221,0.470556,5.995555,NA,10.328889,1.676667,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.232224,124618,34.845554,0.470886,15.621111,0.211096,82.372192,1.878889,0.025390,41.367249,0.011404,14.656111,0.198056,2.069444,5.142222,0.000000,0.000000,0.000000,19.047777,0.640000,5.053889,NA,19.373888,8.994445,
3,cube0,62.267223,112081,15.392777,0.208011,13.779445,0.186209,11.225555,0.151697,3.243889,0.043836,10.583678,24.580000,0.332162,124.156143,0.000000,22.550556,0.304737,0.652778,2.908333,12.208333,0.000000,0.000000,0.773333,0.173333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.148335,NA,NA,
