block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,60.471111,108848,0.296809,0.288769,0.024167,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,69.928337,125871,0.156982,0.096622,0.036712,0.023649,0.000000,0.126524,0.040338,0.079054,
0,vector1,NA,NA,NA,NA,NA,NA,68.692223,123646,0.104655,0.064414,0.024474,0.015766,0.000000,0.102125,0.026644,0.062245,
1,cube0,63.708332,114675,0.273536,0.265856,0.045030,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,70.275002,126495,0.156982,0.096622,0.036712,0.023649,0.000000,0.135248,0.040743,0.129444,
1,vector1,NA,NA,NA,NA,NA,NA,68.761665,123771,0.104655,0.064414,0.024474,0.015766,0.000000,0.100278,0.026539,0.095848,
2,cube0,63.199444,113759,0.287515,0.279212,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,70.845558,127522,0.156982,0.096622,0.036712,0.023649,0.000000,0.124017,0.040405,0.129429,
2,vector1,NA,NA,NA,NA,NA,NA,69.232224,124618,0.104655,0.064414,0.024474,0.015766,0.000000,0.093476,0.026779,0.095841,
3,cube0,62.267223,112081,0.291239,0.282402,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,71.233330,128220,0.156982,0.096622,0.036712,0.023649,0.000000,0.134242,0.041006,0.129459,
3,vector1,NA,NA,NA,NA,NA,NA,69.158890,124486,0.104655,0.064414,0.024474,0.015766,0.000000,0.101824,0.026712,0.095848,
4,cube0,63.106667,113592,0.287380,0.279595,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,69.862778,125753,0.156982,0.096622,0.036712,0.023649,0.000000,0.131306,0.040683,0.129467,
4,vector1,NA,NA,NA,NA,NA,NA,68.447220,123205,0.104655,0.064414,0.024474,0.015766,0.000000,0.097733,0.026471,0.095848,
5,cube0,60.871666,109569,0.281209,0.273138,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,64.903336,116826,0.156982,0.096622,0.036712,0.023649,0.000000,0.108941,0.036149,0.078926,
5,vector1,NA,NA,NA,NA,NA,NA,64.903893,116827,0.104655,0.064414,0.024474,0.015766,0.000000,0.087365,0.024099,0.062140,
6,cube0,59.590557,107263,0.291501,0.282170,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,69.679443,125423,0.156982,0.096622,0.036712,0.023649,0.000000,0.131847,0.040420,0.079054,
6,vector1,NA,NA,NA,NA,NA,NA,68.384445,123092,0.104655,0.064414,0.024474,0.015766,0.000000,0.098851,0.026517,0.062252,
7,cube0,61.638332,110949,0.281126,0.272290,0.045030,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,70.267220,126481,0.156982,0.096622,0.036712,0.023649,0.000000,0.131029,0.040503,0.129452,
7,vector1,NA,NA,NA,NA,NA,NA,68.787781,123818,0.104655,0.064414,0.024474,0.015766,0.000000,0.099009,0.026659,0.095848,
8,cube0,62.310001,112158,0.282703,0.273664,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,70.660553,127189,0.156982,0.096622,0.036712,0.023649,0.000000,0.134474,0.040450,0.129437,
8,vector1,NA,NA,NA,NA,NA,NA,69.025558,124246,0.104655,0.064414,0.024474,0.015766,0.000000,0.100330,0.026839,0.095848,
9,cube0,62.436668,112386,0.289707,0.284039,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,71.197220,128155,0.156982,0.096622,0.036712,0.023649,0.000000,0.131351,0.041089,0.129459,
9,vector1,NA,NA,NA,NA,NA,NA,68.995003,124191,0.104655,0.064414,0.024474,0.015766,0.000000,0.108191,0.026644,0.095841,
10,cube0,61.957779,111524,0.289197,0.279932,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,69.643333,125358,0.156982,0.096622,0.036712,0.023649,0.000000,0.135233,0.040736,0.129459,
10,vector1,NA,NA,NA,NA,NA,NA,68.301666,122943,0.104655,0.064414,0.024474,0.015766,0.000000,0.096697,0.026607,0.095841,
11,cube0,60.058887,108106,0.285000,0.276314,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,64.767776,116582,0.156982,0.096622,0.036712,0.023649,0.000000,0.107125,0.036149,0.078934,
11,vector1,NA,NA,NA,NA,NA,NA,64.783333,116610,0.104655,0.064414,0.024474,0.015766,0.000000,0.087875,0.024099,0.062147,
12,cube0,59.935555,107884,0.281441,0.272222,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,69.759445,125567,0.156982,0.096622,0.036712,0.023649,0.000000,0.124069,0.040450,0.079047,
12,vector1,NA,NA,NA,NA,NA,NA,68.456108,123221,0.104655,0.064414,0.024474,0.015766,0.000000,0.099797,0.026194,0.062245,
13,cube0,62.656666,112782,0.278581,0.269692,0.045000,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,70.142776,126257,0.156982,0.096622,0.036712,0.023649,0.000000,0.133108,0.040841,0.128198,
13,vector1,NA,NA,NA,NA,NA,NA,68.635002,123543,0.104655,0.064414,0.024474,0.015766,0.000000,0.100008,0.026599,0.095856,
14,cube0,63.238335,113829,0.293889,0.284895,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,70.627777,127130,0.156982,0.096622,0.036712,0.023649,0.000000,0.129114,0.040721,0.129452,
14,vector1,NA,NA,NA,NA,NA,NA,69.086670,124356,0.104655,0.064414,0.024474,0.015766,0.000000,0.103971,0.027215,0.095841,
15,cube0,62.687778,112838,0.291772,0.283416,0.023288,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,70.910004,127638,0.156982,0.096622,0.036712,0.023649,0.000000,0.124767,0.040593,0.129459,
15,vector1,NA,NA,NA,NA,NA,NA,68.837776,123908,0.104655,0.064414,0.024474,0.015766,0.000000,0.092462,0.026502,0.095856,
16,cube0,52.046665,93684,0.230578,0.225383,0.023281,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,64.707779,116474,0.125586,0.077297,0.029369,0.018919,0.000000,0.083596,0.028919,0.078934,
16,vector1,NA,NA,NA,NA,NA,NA,64.737778,116528,0.083724,0.051532,0.019580,0.012613,0.000000,0.061411,0.019279,0.062155,
17,cube0,51.961113,93530,0.223198,0.217823,0.023281,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,70.111115,126200,0.125586,0.077297,0.029369,0.018919,0.000000,0.099414,0.033438,0.079054,
17,vector1,NA,NA,NA,NA,NA,NA,68.741669,123735,0.083724,0.051532,0.019580,0.012613,0.000000,0.086486,0.021817,0.062245,
18,cube0,55.287224,99517,0.242770,0.239324,0.023281,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,70.893890,127609,0.125586,0.077297,0.029369,0.018919,0.000000,0.116134,0.033371,0.129459,
18,vector1,NA,NA,NA,NA,NA,NA,68.870552,123967,0.083724,0.051532,0.019580,0.012613,0.000000,0.093461,0.021592,0.095848,
19,cube0,53.311111,95960,0.227943,0.222470,0.023281,0.000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,64.686111,116435,0.125586,0.077297,0.029369,0.018919,0.000000,0.097290,0.028919,0.079054,
19,vector1,NA,NA,NA,NA,NA,NA,64.717781,116492,0.083724,0.051532,0.019580,0.012613,0.000000,0.071066,0.019279,0.062237,
