block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,13.612778,24503,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.323334,31182,0.211194,0.008889,0.000000,0.001333,0.000000,0.059611,41792,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.406111,27731,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
1,cube0,13.215000,23787,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.508889,26116,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.491111,26084,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
2,cube0,13.236667,23826,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.480000,26064,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.471666,26049,0.110222,0.000000,0.000000,0.002806,0.000000,0.107389,18048,
3,cube0,13.400000,24120,0.011889,0.011889,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.518888,26134,0.150778,0.016444,0.000000,0.002472,0.000000,0.073722,31488,
