block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,13.612778,24503,1,129,9,514,12,512,0.769231,2.005731,1.869159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.323334,31182,2,50,351,5,364,5,3.846154,98.620689,92.277992,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.406111,27731,1,2,46,2,32,2,33.333332,95.121948,92.941177,
1,cube0,13.215000,23787,2,128,2,522,4,519,1.538462,0.573066,0.679694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.508889,26116,2,34,100,5,104,4,5.555555,95.774651,82.730927,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.491111,26084,1,2,37,4,33,2,33.333332,92.105263,89.873421,
2,cube0,13.236667,23826,2,128,10,510,12,515,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.480000,26064,2,34,98,3,104,0,5.555555,98.536583,84.647301,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.471666,26049,1,2,38,1,37,0,33.333332,98.684212,96.202530,
3,cube0,13.400000,24120,2,128,12,511,10,514,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.518888,26134,2,34,100,1,97,0,5.555555,99.494949,85.042732,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.438334,25989,1,2,22,1,28,0,33.333332,98.039215,94.444443,
4,cube0,13.038889,23470,2,128,11,511,11,514,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.041666,30675,2,50,379,1,361,0,3.846154,99.865044,93.568726,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.132222,27238,1,2,36,1,54,2,33.333332,96.774193,94.791664,
5,cube0,13.562222,24412,2,128,10,514,12,511,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.493889,26089,2,34,111,3,103,2,5.555555,97.716896,84.705879,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.369445,25865,1,2,34,0,44,1,33.333332,98.734177,96.341461,
6,cube0,13.332222,23998,2,128,8,517,14,508,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.364445,25856,2,34,107,1,106,0,5.555555,99.532707,86.000000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.304444,25748,1,2,40,0,44,1,33.333332,98.823532,96.590912,
7,cube0,12.117778,21812,1,129,2,519,3,523,0.769231,0.477555,0.509771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.317778,25772,2,34,105,0,109,2,5.555555,99.074074,85.714287,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.279445,25703,1,2,43,0,37,2,33.333332,97.560974,95.294121,
8,cube0,6.161667,11091,2,64,2,1,3,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.312778,25763,1,2,35,6,49,1,33.333332,92.307693,90.425529,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,1,2,54,0,45,1,33.333332,99.000000,97.087379,
9,cube0,3.971667,7149,1,65,1,1,2,2,1.515152,50.000000,5.555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.308333,25755,1,2,48,0,49,1,33.333332,98.979591,97.029701,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.265000,25677,1,2,49,1,46,0,33.333332,98.958336,96.969696,
10,cube0,6.333889,11401,2,64,3,1,2,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,1,2,49,1,48,0,33.333332,98.979591,97.029701,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.281111,25706,1,2,45,1,50,0,33.333332,98.958336,96.969696,
11,cube0,6.329444,11393,2,64,3,1,2,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.266666,25680,1,2,52,0,43,1,33.333332,98.958336,96.969696,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.246667,25644,1,2,42,0,51,1,33.333332,98.936172,96.907219,
12,cube0,7.703889,13867,2,64,3,0,2,1,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.270555,25687,1,2,41,1,50,0,33.333332,98.913040,96.842102,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.240000,25632,1,2,51,0,41,1,33.333332,98.924728,96.875000,
13,cube0,6.748889,12148,2,64,3,1,2,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.277223,25699,1,2,48,1,43,0,33.333332,98.913040,96.842102,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.261666,25671,1,2,43,0,50,1,33.333332,98.936172,96.907219,
