block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,13.612778,24503,9.831619,6.892756,6.178695,3.045087,22,0.033639,14,0.116667,18,0.055222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.323334,31182,1.186168,3.794557,4.278466,1.215674,12,0.176250,5,0.030722,90.625000,25.750000,NA,NA,NA,NA,NA,NA,NA,NA,80.375000,1.724328,25.125000,0.634993,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.406111,27731,0.047211,0.011803,0.483909,0.076717,2,0.136833,2,0.006611,10.250000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
1,cube0,13.215000,23787,9.831619,6.892756,6.178695,3.045087,22,0.033750,14,0.110833,18,0.144806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.508889,26116,0.808483,0.773075,1.256984,0.837989,4,0.111861,4,0.020861,26.625000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.491111,26084,0.047211,0.011803,0.448501,0.076717,2,0.157000,2,0.006639,9.500000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
2,cube0,13.236667,23826,9.831619,6.892756,6.178695,3.045087,22,0.033750,14,0.099306,18,0.090944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.480000,26064,0.808483,0.773075,1.209773,0.837989,4,0.163361,4,0.019194,25.625000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.471666,26049,0.047211,0.011803,0.448501,0.076717,2,0.085333,2,0.006000,9.500000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
3,cube0,13.400000,24120,9.831619,6.892756,6.178695,3.045087,22,0.033750,14,0.106944,18,0.120778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.518888,26134,0.808483,0.773075,1.168464,0.837989,4,0.050444,4,0.021222,24.750000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.438334,25989,0.047211,0.011803,0.300968,0.076717,2,0.103139,2,0.006639,6.375000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
4,cube0,13.038889,23470,9.831619,6.892756,6.178695,3.045087,22,0.033639,14,0.125972,18,0.097639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.041666,30675,1.186168,3.794557,4.372887,1.215674,12,0.127528,5,0.097139,92.625000,25.750000,NA,NA,NA,NA,NA,NA,NA,NA,80.375000,1.724328,25.125000,0.634993,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.132222,27238,0.047211,0.011803,0.548824,0.076717,2,0.099194,2,0.005306,11.625000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
5,cube0,13.562222,24412,9.831619,6.892756,6.178695,3.045087,22,0.033639,14,0.129917,18,0.146694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.493889,26089,0.808483,0.773075,1.292392,0.837989,4,0.104222,4,0.022278,27.375000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.369445,25865,0.047211,0.011803,0.466205,0.076717,2,0.105417,2,0.006111,9.875000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
6,cube0,13.332222,23998,9.831619,6.892756,6.178695,3.045087,22,0.033861,14,0.112056,18,0.106083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.364445,25856,0.808483,0.773075,1.262885,0.837989,4,0.107722,4,0.022083,26.750000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.304444,25748,0.047211,0.011803,0.501613,0.076717,2,0.101833,2,0.005333,10.625000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
7,cube0,12.117778,21812,9.831619,6.892756,6.178695,3.045087,22,0.033750,14,0.161417,18,0.132500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.610892,34.000000,0.804875,0.000000,0.000000,32.000000,0.721738,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.317778,25772,0.808483,0.773075,1.274688,0.837989,4,0.105333,4,0.020861,27.000000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.351302,17.125000,0.432806,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.279445,25703,0.047211,0.011803,0.483909,0.076717,2,0.108000,2,0.006806,10.250000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
8,cube0,6.161667,11091,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.162139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.312778,25763,0.047211,0.011803,0.537021,0.059013,2,0.100056,2,0.006917,11.375000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,0.047211,0.011803,0.590133,0.059013,2,0.101611,2,0.006250,12.500000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
9,cube0,3.971667,7149,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.065472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.308333,25755,0.047211,0.011803,0.578331,0.059013,2,0.105083,2,0.006389,12.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.265000,25677,0.047211,0.011803,0.566528,0.059013,2,0.109250,2,0.007111,12.000000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
10,cube0,6.333889,11401,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.161861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,0.047211,0.011803,0.578331,0.059013,2,0.101778,2,0.007611,12.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.281111,25706,0.047211,0.011803,0.566528,0.059013,2,0.101833,2,0.006917,12.000000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
11,cube0,6.329444,11393,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.161472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.266666,25680,0.047211,0.011803,0.566528,0.059013,2,0.112528,2,0.006611,12.000000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.246667,25644,0.047211,0.011803,0.554725,0.059013,2,0.114722,2,0.005917,11.750000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
12,cube0,7.703889,13867,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.156972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.270555,25687,0.047211,0.011803,0.542923,0.059013,2,0.122028,2,0.006917,11.500000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.240000,25632,0.047211,0.011803,0.548824,0.059013,2,0.135917,2,0.006806,11.625000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
13,cube0,6.748889,12148,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.132083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.277223,25699,0.047211,0.011803,0.542923,0.059013,2,0.140389,2,0.005833,11.500000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.261666,25671,0.047211,0.011803,0.554725,0.059013,2,0.136861,2,0.006500,11.750000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
14,cube0,6.983333,12570,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.130472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.260555,25669,0.047211,0.011803,0.531120,0.059013,2,0.148083,2,0.006667,11.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.231112,25616,0.047211,0.011803,0.548824,0.059013,2,0.140500,2,0.007556,11.625000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
15,cube0,6.594444,11870,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.151972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.242222,25636,0.047211,0.011803,0.531120,0.059013,2,0.136778,2,0.006222,11.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.203889,25567,0.047211,0.011803,0.531120,0.059013,2,0.155750,2,0.005389,11.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
16,cube0,6.631111,11936,3.033285,0.755370,0.035408,1.528445,6,0.000250,5,0.002111,18,0.141778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.286125,33.500000,0.793039,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.241667,25635,0.047211,0.011803,0.554725,0.059013,2,0.136778,2,0.005194,11.750000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.210556,25579,0.047211,0.011803,0.566528,0.059013,2,0.142361,2,0.006333,12.000000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005363,1.000000,0.025273,
