block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,13.612778,24503,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.323334,31182,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.406111,27731,
1,cube0,13.215000,23787,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.508889,26116,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.491111,26084,
2,cube0,13.236667,23826,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.480000,26064,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.471666,26049,
3,cube0,13.400000,24120,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.518888,26134,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.438334,25989,
4,cube0,13.038889,23470,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.041666,30675,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.132222,27238,
5,cube0,13.562222,24412,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.493889,26089,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.369445,25865,
6,cube0,13.332222,23998,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.364445,25856,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.304444,25748,
7,cube0,12.117778,21812,1.510741,0.755370,6.042964,6.042964,0.000000,1.510741,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.317778,25772,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.279445,25703,
8,cube0,6.161667,11091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.312778,25763,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,
9,cube0,3.971667,7149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.308333,25755,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.265000,25677,
10,cube0,6.333889,11401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.284445,25712,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.281111,25706,
11,cube0,6.329444,11393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.266666,25680,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.246667,25644,
12,cube0,7.703889,13867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.270555,25687,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.240000,25632,
13,cube0,6.748889,12148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.277223,25699,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.261666,25671,
14,cube0,6.983333,12570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.260555,25669,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.231112,25616,
15,cube0,6.594444,11870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.242222,25636,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.203889,25567,
16,cube0,6.631111,11936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.241667,25635,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.210556,25579,
17,cube0,6.801667,12243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.233334,25620,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.175000,25515,
18,cube0,6.622778,11921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.205556,25570,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.213333,25584,
19,cube0,6.800000,12240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.235000,25623,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.175000,25515,
