block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,13.612778,24503,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,17.323334,31182,11.212531,19.498001,0.004426,0.009590,
0,vector1,NA,NA,15.406111,27731,0.165237,6.255412,0.004426,0.002951,
1,cube0,13.215000,23787,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,14.508889,26116,4.721066,10.433556,0.004426,0.009590,
1,vector1,NA,NA,14.491111,26084,0.165237,6.255412,0.004426,0.002951,
2,cube0,13.236667,23826,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,14.480000,26064,4.721066,10.433556,0.004426,0.009590,
2,vector1,NA,NA,14.471666,26049,0.165237,6.255412,0.004426,0.002951,
3,cube0,13.400000,24120,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,14.518888,26134,4.721066,10.433556,0.004426,0.009590,
3,vector1,NA,NA,14.438334,25989,0.165237,6.255412,0.004426,0.002951,
4,cube0,13.038889,23470,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,17.041666,30675,11.212531,19.498001,0.004426,0.009590,
4,vector1,NA,NA,15.132222,27238,0.165237,6.255412,0.004426,0.002951,
5,cube0,13.562222,24412,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,14.493889,26089,4.721066,10.433556,0.004426,0.009590,
5,vector1,NA,NA,14.369445,25865,0.165237,6.255412,0.004426,0.002951,
6,cube0,13.332222,23998,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,14.364445,25856,4.721066,10.433556,0.004426,0.009590,
6,vector1,NA,NA,14.304444,25748,0.165237,6.255412,0.004426,0.002951,
7,cube0,12.117778,21812,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,14.317778,25772,4.721066,10.433556,0.004426,0.009590,
7,vector1,NA,NA,14.279445,25703,0.165237,6.255412,0.004426,0.002951,
8,cube0,6.161667,11091,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,14.312778,25763,0.165237,6.255412,0.004426,0.002951,
8,vector1,NA,NA,14.284445,25712,0.165237,6.255412,0.004426,0.002951,
9,cube0,3.971667,7149,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,14.308333,25755,0.165237,6.255412,0.004426,0.002951,
9,vector1,NA,NA,14.265000,25677,0.165237,6.255412,0.004426,0.002951,
10,cube0,6.333889,11401,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,14.284445,25712,0.165237,6.255412,0.004426,0.002951,
10,vector1,NA,NA,14.281111,25706,0.165237,6.255412,0.004426,0.002951,
11,cube0,6.329444,11393,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,14.266666,25680,0.165237,6.255412,0.004426,0.002951,
11,vector1,NA,NA,14.246667,25644,0.165237,6.255412,0.004426,0.002951,
12,cube0,7.703889,13867,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,14.270555,25687,0.165237,6.255412,0.004426,0.002951,
12,vector1,NA,NA,14.240000,25632,0.165237,6.255412,0.004426,0.002951,
13,cube0,6.748889,12148,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,14.277223,25699,0.165237,6.255412,0.004426,0.002951,
13,vector1,NA,NA,14.261666,25671,0.165237,6.255412,0.004426,0.002951,
14,cube0,6.983333,12570,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,14.260555,25669,0.165237,6.255412,0.004426,0.002951,
14,vector1,NA,NA,14.231112,25616,0.165237,6.255412,0.004426,0.002951,
15,cube0,6.594444,11870,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,14.242222,25636,0.165237,6.255412,0.004426,0.002951,
15,vector1,NA,NA,14.203889,25567,0.165237,6.255412,0.004426,0.002951,
16,cube0,6.631111,11936,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,14.241667,25635,0.165237,6.255412,0.004426,0.002951,
16,vector1,NA,NA,14.210556,25579,0.165237,6.255412,0.004426,0.002951,
17,cube0,6.801667,12243,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,14.233334,25620,0.165237,6.255412,0.004426,0.002951,
17,vector1,NA,NA,14.175000,25515,0.165237,6.255412,0.004426,0.002951,
18,cube0,6.622778,11921,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,14.205556,25570,0.165237,6.255412,0.004426,0.002951,
18,vector1,NA,NA,14.213333,25584,0.165237,6.255412,0.004426,0.002951,
19,cube0,6.800000,12240,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,14.235000,25623,0.165237,6.255412,0.004426,0.002951,
19,vector1,NA,NA,14.175000,25515,0.165237,6.255412,0.004426,0.002951,
