block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,13.612778,24503,0.237778,0.011889,0.672778,0.033639,2.333333,0.116667,1.104445,0.055222,29.358585,2.767778,0.138389,11.026023,0.000000,6.321667,0.316083,0.167778,0.431667,0.000000,0.000000,0.000000,0.000000,0.113333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.537222,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.323334,31182,4.223889,0.211194,3.525000,0.176250,21.745127,0.614444,0.030722,38.996311,0.065934,7.919445,0.395972,0.320556,0.685000,0.000000,0.000000,0.000000,0.000000,1.357778,2.980556,NA,4.387778,0.351667,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.406111,27731,2.204444,0.110222,2.736667,0.136833,0.087120,0.132222,0.006611,7.212663,0.110457,8.036111,0.401806,0.191111,0.376111,0.000000,0.000000,0.000000,0.000000,0.715000,2.476667,NA,3.870000,1.206111,
1,cube0,13.215000,23787,0.237778,0.011889,0.675000,0.033750,2.216667,0.110833,2.896111,0.144806,11.196024,2.697778,0.134889,11.312117,0.000000,7.171667,0.358583,0.168889,0.438333,0.000000,0.000000,0.000000,0.000000,0.143889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.817222,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.508889,26116,3.015556,0.150778,2.237222,0.111861,6.980271,0.417222,0.020861,39.143822,0.080777,5.990000,0.299500,0.284444,0.591111,0.000000,0.000000,0.000000,0.000000,1.490000,2.240556,NA,5.943333,0.432778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.491111,26084,2.204444,0.110222,3.140000,0.157000,0.075929,0.132778,0.006639,7.182485,0.116244,6.368333,0.318417,0.177222,0.353889,0.000000,0.000000,0.000000,0.000000,0.637778,2.735556,NA,3.760556,1.433889,
2,cube0,13.236667,23826,0.237778,0.011889,0.675000,0.033750,1.986111,0.099306,1.818889,0.090944,17.826777,2.425555,0.121278,12.581686,0.000000,9.906111,0.495306,0.168333,0.445556,0.000000,0.000000,0.000000,0.000000,0.117222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.818333,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.480000,26064,3.015556,0.150778,3.267222,0.163361,4.779723,0.383889,0.019194,42.542706,0.074872,6.968889,0.348444,0.287222,0.596111,0.000000,0.000000,0.000000,0.000000,1.135556,2.866111,NA,3.853333,0.482778,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.471666,26049,2.204444,0.110222,1.706667,0.085333,0.139698,0.120000,0.006000,7.947287,0.112108,8.142222,0.407111,0.178333,0.360000,0.000000,0.000000,0.000000,0.000000,0.741111,0.350000,NA,3.771667,1.665556,
3,cube0,13.400000,24120,0.237778,0.011889,0.675000,0.033750,2.138889,0.106944,2.415555,0.120778,13.423384,2.580555,0.129028,11.825973,0.000000,10.224444,0.511222,0.167778,0.453333,0.000000,0.000000,0.000000,0.000000,0.112778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.497222,NA,NA,
