block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,13.612778,24503,0.127000,0.131278,0.108222,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,17.323334,31182,0.009333,0.003194,0.000306,0.005833,0.000000,0.034028,0.001944,0.127917,
0,vector1,NA,NA,NA,NA,NA,NA,15.406111,27731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000639,0.000000,0.105944,
1,cube0,13.215000,23787,0.121167,0.127278,0.093889,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,14.508889,26116,0.009333,0.003194,0.000306,0.005833,0.000000,0.020361,0.000000,0.132472,
1,vector1,NA,NA,NA,NA,NA,NA,14.491111,26084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000556,0.000000,0.105861,
2,cube0,13.236667,23826,0.109639,0.113417,0.091667,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,14.480000,26064,0.009333,0.003194,0.000306,0.005833,0.000000,0.019000,0.000000,0.132472,
2,vector1,NA,NA,NA,NA,NA,NA,14.471666,26049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000639,0.000000,0.105972,
3,cube0,13.400000,24120,0.117278,0.121528,0.098694,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,14.518888,26134,0.009333,0.003194,0.000306,0.005833,0.000000,0.019889,0.000000,0.132472,
3,vector1,NA,NA,NA,NA,NA,NA,14.438334,25989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000611,0.000000,0.106028,
