block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,21.469999,38646,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.882223,46588,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.861111,46550,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
1,cube0,22.408890,40336,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.854445,46538,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.814444,46466,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
2,cube0,23.290556,41923,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.841667,46515,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.765556,46378,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
3,cube0,22.701666,40863,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.799444,46439,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.762777,46373,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
4,cube0,23.008333,41415,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.820555,46477,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.791111,46424,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
5,cube0,23.459444,42227,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.796667,46434,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.737223,46327,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
6,cube0,23.046667,41484,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.738333,46329,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.701111,46262,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
7,cube0,22.758333,40965,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.706667,46272,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.656111,46181,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
8,cube0,23.339445,42011,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.673889,46213,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.631666,46137,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
9,cube0,22.602777,40685,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.662777,46193,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.622778,46121,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
10,cube0,23.833334,42900,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.656666,46182,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.645555,46162,0.148907,0.059037,0.000000,0.001241,0.000000,0.059648,101984,
11,cube0,24.996111,44993,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.639444,46151,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.636667,46146,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
12,cube0,24.162777,43493,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.627777,46130,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.584444,46052,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
13,cube0,24.812222,44662,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.599445,46079,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.568333,46023,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
14,cube0,24.391666,43905,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.620556,46117,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
15,cube0,24.126112,43427,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.591667,46065,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.572222,46030,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
16,cube0,24.622223,44320,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.579445,46043,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551666,45993,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
17,cube0,24.932777,44879,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546112,45983,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
18,cube0,25.373888,45673,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.586666,46056,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.547222,45985,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
19,cube0,25.223333,45402,0.060074,0.060074,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.562778,46013,0.224111,0.099222,0.000000,0.001407,0.000000,0.074796,185920,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551666,45993,0.148685,0.058944,0.000000,0.001241,0.000000,0.059574,101984,
