block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,21.469999,38646,1,833,1,709,4,704,0.119904,0.352609,0.266430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.882223,46588,7,6,1042,4,1032,3,53.846153,99.663620,99.379181,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.861111,46550,2,6,517,2,533,1,25.000000,99.715103,99.151741,
1,cube0,22.408890,40336,2,832,4,704,5,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.854445,46538,8,6,1041,0,1039,1,57.142857,99.951942,99.665871,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.814444,46466,4,5,528,0,523,2,44.444443,99.810066,99.340866,
2,cube0,23.290556,41923,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.841667,46515,7,6,1042,1,1038,0,53.846153,99.951942,99.665710,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.765556,46378,3,5,521,2,530,0,37.500000,99.810066,99.340248,
3,cube0,22.701666,40863,2,832,4,707,5,702,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.799444,46439,7,7,1040,0,1040,1,50.000000,99.951942,99.618141,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.762777,46373,5,4,528,0,524,1,55.555557,99.905037,99.529190,
4,cube0,23.008333,41415,2,832,5,702,4,707,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.820555,46477,7,7,1071,1,1009,0,50.000000,99.951942,99.618141,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.791111,46424,4,5,494,0,558,1,44.444443,99.905037,99.435028,
5,cube0,23.459444,42227,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.796667,46434,8,6,1044,2,1035,0,57.142857,99.903893,99.618141,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.737223,46327,2,6,520,1,532,0,25.000000,99.905037,99.340248,
6,cube0,23.046667,41484,2,832,4,704,5,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.738333,46329,7,6,1058,2,1021,0,53.846153,99.903893,99.617958,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.701111,46262,5,4,507,1,545,0,55.555557,99.905037,99.529190,
7,cube0,22.758333,40965,1,833,5,705,3,705,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.706667,46272,7,7,1029,2,1050,0,50.000000,99.903893,99.570404,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.656111,46181,2,6,536,1,516,0,25.000000,99.905037,99.340248,
8,cube0,23.339445,42011,2,832,3,706,5,704,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.673889,46213,10,5,1045,0,1035,1,66.666664,99.951942,99.713737,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.631666,46137,3,5,521,0,531,1,37.500000,99.905037,99.434494,
9,cube0,22.602777,40685,1,833,4,704,5,705,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.662777,46193,7,7,1038,1,1041,1,50.000000,99.903893,99.570404,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.622778,46121,4,5,527,1,524,1,44.444443,99.810066,99.340866,
10,cube0,23.833334,42900,2,832,3,705,6,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.656666,46182,7,6,1044,0,1036,1,53.846153,99.951942,99.665710,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.645555,46162,1,6,523,1,528,1,14.285714,99.810066,99.245285,
11,cube0,24.996111,44993,2,832,6,704,3,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.639444,46151,8,6,1038,0,1042,1,57.142857,99.951942,99.665871,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.636667,46146,5,4,528,1,524,0,55.555557,99.905037,99.529190,
12,cube0,24.162777,43493,1,833,3,706,5,704,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.627777,46130,7,7,1043,2,1036,0,50.000000,99.903893,99.570404,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.584444,46052,4,5,520,1,532,0,44.444443,99.905037,99.435028,
13,cube0,24.812222,44662,2,832,4,704,5,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.599445,46079,8,6,1044,1,1036,0,57.142857,99.951942,99.665871,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.568333,46023,2,6,520,2,531,0,25.000000,99.810066,99.245995,
14,cube0,24.391666,43905,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.620556,46117,8,6,1042,0,1038,1,57.142857,99.951942,99.665871,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,3,5,524,1,528,0,37.500000,99.905037,99.434494,
15,cube0,24.126112,43427,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.591667,46065,8,6,1050,2,1029,0,57.142857,99.903893,99.618141,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.572222,46030,3,5,516,0,536,1,37.500000,99.905037,99.434494,
16,cube0,24.622223,44320,1,833,4,705,4,705,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.579445,46043,7,7,1046,0,1034,1,50.000000,99.951942,99.618141,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551666,45993,4,5,520,1,532,0,44.444443,99.905037,99.435028,
17,cube0,24.932777,44879,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,8,6,1033,1,1046,1,57.142857,99.903893,99.618141,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546112,45983,4,5,530,2,521,0,44.444443,99.810066,99.340866,
18,cube0,25.373888,45673,2,832,4,704,5,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.586666,46056,8,6,1045,1,1035,0,57.142857,99.951942,99.665871,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.547222,45985,3,5,522,0,530,1,37.500000,99.905037,99.434494,
