block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,21.469999,38646,16.048288,6.015171,5.553068,13.048535,38,0.057611,46,0.238500,18,0.039444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.278474,34.000000,0.534115,0.000000,0.000000,384.000000,5.747344,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.882223,46588,0.129232,8.059389,8.149460,0.133148,18,0.111148,4,0.074704,260.125000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.662360,4.125000,0.069182,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.861111,46550,0.086155,4.033611,4.123682,0.093987,10,0.114648,3,0.014574,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.832960,2.750000,0.046121,
1,cube0,22.408890,40336,16.048288,6.015171,5.553068,13.048535,38,0.057444,46,0.229037,18,0.079685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.278474,34.000000,0.534115,0.000000,0.000000,384.000000,5.747344,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.854445,46538,0.144897,8.059389,8.149460,0.137064,18,0.145222,4,0.018907,260.125000,4.375000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.662360,4.625000,0.077568,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.814444,46466,0.090071,4.033611,4.123682,0.093987,10,0.114704,3,0.013907,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.832960,2.875000,0.048218,
2,cube0,23.290556,41923,16.048288,6.015171,5.553068,13.048535,38,0.057352,46,0.224648,18,0.047741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.278474,34.000000,0.534115,0.000000,0.000000,384.000000,5.747344,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.841667,46515,0.140981,8.059389,8.149460,0.133148,18,0.161537,4,0.015963,260.125000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.662360,4.500000,0.075471,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.765556,46378,0.074406,4.033611,4.123682,0.093987,10,0.103389,3,0.013333,131.625000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.832960,2.375000,0.039832,
3,cube0,22.701666,40863,16.048288,6.015171,5.553068,13.048535,38,0.057648,46,0.210944,18,0.048185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.250000,416.500000,192.000000,2.278474,34.000000,0.534115,0.000000,0.000000,384.000000,5.747344,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.799444,46439,0.144897,8.059389,8.149460,0.137064,18,0.117870,4,0.019981,260.125000,4.375000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,3.662360,4.625000,0.077568,
