block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,21.469999,38646,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.882223,46588,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.861111,46550,
1,cube0,22.408890,40336,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.854445,46538,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.814444,46466,
2,cube0,23.290556,41923,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.841667,46515,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.765556,46378,
3,cube0,22.701666,40863,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.799444,46439,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.762777,46373,
4,cube0,23.008333,41415,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.820555,46477,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.791111,46424,
5,cube0,23.459444,42227,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.796667,46434,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.737223,46327,
6,cube0,23.046667,41484,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.738333,46329,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.701111,46262,
7,cube0,22.758333,40965,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.706667,46272,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.656111,46181,
8,cube0,23.339445,42011,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.673889,46213,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.631666,46137,
9,cube0,22.602777,40685,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.662777,46193,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.622778,46121,
10,cube0,23.833334,42900,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.656666,46182,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.645555,46162,
11,cube0,24.996111,44993,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.639444,46151,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.636667,46146,
12,cube0,24.162777,43493,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.627777,46130,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.584444,46052,
13,cube0,24.812222,44662,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.599445,46079,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.568333,46023,
14,cube0,24.391666,43905,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.620556,46117,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,
15,cube0,24.126112,43427,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.591667,46065,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.572222,46030,
16,cube0,24.622223,44320,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.579445,46043,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.551666,45993,
17,cube0,24.932777,44879,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.575001,46035,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.546112,45983,
18,cube0,25.373888,45673,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.586666,46056,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.547222,45985,
19,cube0,25.223333,45402,12.030342,6.015171,48.121368,8.020228,0.000000,12.030342,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.562778,46013,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.551666,45993,
