block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,21.469999,38646,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,25.882223,46588,34.947517,27.898487,0.002937,0.001958,
0,vector1,NA,NA,25.861111,46550,17.528585,16.024792,0.002937,0.001958,
1,cube0,22.408890,40336,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,25.854445,46538,34.947517,27.898487,0.002937,0.001958,
1,vector1,NA,NA,25.814444,46466,17.528585,16.024792,0.002937,0.001958,
2,cube0,23.290556,41923,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,25.841667,46515,34.947517,27.898487,0.002937,0.001958,
2,vector1,NA,NA,25.765556,46378,17.528585,16.024792,0.002937,0.001958,
3,cube0,22.701666,40863,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,25.799444,46439,34.947517,27.898487,0.002937,0.001958,
3,vector1,NA,NA,25.762777,46373,17.528585,16.024792,0.002937,0.001958,
4,cube0,23.008333,41415,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,25.820555,46477,34.947517,27.898487,0.002937,0.001958,
4,vector1,NA,NA,25.791111,46424,17.528585,16.024792,0.002937,0.001958,
5,cube0,23.459444,42227,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,25.796667,46434,34.947517,27.898487,0.002937,0.001958,
5,vector1,NA,NA,25.737223,46327,17.528585,16.024792,0.002937,0.001958,
6,cube0,23.046667,41484,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,25.738333,46329,34.947517,27.898487,0.002937,0.001958,
6,vector1,NA,NA,25.701111,46262,17.528585,16.024792,0.002937,0.001958,
7,cube0,22.758333,40965,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,25.706667,46272,34.947517,27.898487,0.002937,0.001958,
7,vector1,NA,NA,25.656111,46181,17.528585,16.024792,0.002937,0.001958,
8,cube0,23.339445,42011,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,25.673889,46213,34.947517,27.898487,0.002937,0.001958,
8,vector1,NA,NA,25.631666,46137,17.528585,16.024792,0.002937,0.001958,
9,cube0,22.602777,40685,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,25.662777,46193,34.947517,27.898487,0.002937,0.001958,
9,vector1,NA,NA,25.622778,46121,17.528585,16.024792,0.002937,0.001958,
10,cube0,23.833334,42900,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,25.656666,46182,34.947517,27.898487,0.002937,0.001958,
10,vector1,NA,NA,25.645555,46162,17.528585,16.024792,0.002937,0.001958,
11,cube0,24.996111,44993,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,25.639444,46151,34.947517,27.898487,0.002937,0.001958,
11,vector1,NA,NA,25.636667,46146,17.528585,16.024792,0.002937,0.001958,
12,cube0,24.162777,43493,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,25.627777,46130,34.947517,27.898487,0.002937,0.001958,
12,vector1,NA,NA,25.584444,46052,17.528585,16.024792,0.002937,0.001958,
13,cube0,24.812222,44662,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,25.599445,46079,34.947517,27.898487,0.002937,0.001958,
13,vector1,NA,NA,25.568333,46023,17.528585,16.024792,0.002937,0.001958,
14,cube0,24.391666,43905,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,25.620556,46117,34.947517,27.898487,0.002937,0.001958,
14,vector1,NA,NA,25.575001,46035,17.528585,16.024792,0.002937,0.001958,
15,cube0,24.126112,43427,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,25.591667,46065,34.947517,27.898487,0.002937,0.001958,
15,vector1,NA,NA,25.572222,46030,17.528585,16.024792,0.002937,0.001958,
16,cube0,24.622223,44320,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,25.579445,46043,34.947517,27.898487,0.002937,0.001958,
16,vector1,NA,NA,25.551666,45993,17.528585,16.024792,0.002937,0.001958,
17,cube0,24.932777,44879,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,25.575001,46035,34.947517,27.898487,0.002937,0.001958,
17,vector1,NA,NA,25.546112,45983,17.528585,16.024792,0.002937,0.001958,
18,cube0,25.373888,45673,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,25.586666,46056,34.947517,27.898487,0.002937,0.001958,
18,vector1,NA,NA,25.547222,45985,17.528585,16.024792,0.002937,0.001958,
19,cube0,25.223333,45402,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,25.562778,46013,34.947517,27.898487,0.002937,0.001958,
19,vector1,NA,NA,25.551666,45993,17.528585,16.024792,0.002937,0.001958,
