block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,21.469999,38646,1.802222,0.060074,1.728333,0.057611,7.155000,0.238500,1.183333,0.039444,27.401346,8.286667,0.276222,44.192791,0.000000,8.223333,0.274111,0.262222,0.912222,4.427778,0.000000,0.000000,0.205556,0.133889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.046667,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.882223,46588,6.723333,0.224111,3.334445,0.111148,73.575287,2.241111,0.074704,1.755338,0.013708,5.120555,0.170685,0.533889,1.412778,0.000000,0.000000,0.000000,1.956667,0.807778,1.340000,NA,7.483889,4.910555,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.861111,46550,4.460556,0.148685,3.439445,0.114648,35.699242,0.437222,0.014574,5.998333,0.020833,5.253889,0.175130,0.361667,0.948889,0.000000,0.000000,0.000000,1.102778,0.501111,1.597778,NA,14.922778,7.536111,
1,cube0,22.408890,40336,1.802222,0.060074,1.723333,0.057444,6.871111,0.229037,2.390556,0.079685,13.563763,8.003889,0.266796,45.754124,0.000000,10.669444,0.355648,0.268333,0.935000,3.030555,0.000000,0.000000,0.205556,0.125000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.403889,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.854445,46538,6.723333,0.224111,4.356667,0.145222,56.312027,0.567222,0.018907,7.776042,0.014022,6.381667,0.212722,0.539444,1.436111,0.000000,0.000000,0.000000,1.932222,1.639444,2.493333,NA,9.929444,3.468889,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.814444,46466,4.460556,0.148685,3.441111,0.114704,35.681957,0.417222,0.013907,6.571590,0.018456,5.690556,0.189685,0.370000,0.970556,0.000000,0.000000,0.000000,1.132778,1.191667,2.836111,NA,8.734445,6.031667,
2,cube0,23.290556,41923,1.802222,0.060074,1.720556,0.057352,6.739444,0.224648,1.432222,0.047741,22.639591,7.878334,0.262611,46.483299,0.000000,12.189445,0.406315,0.274444,0.956667,2.917222,0.000000,0.000000,0.205556,0.136111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.982223,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.841667,46515,6.723333,0.224111,4.846111,0.161537,50.624657,0.478889,0.015963,8.961440,0.012979,6.731667,0.224389,0.548889,1.455000,0.000000,0.000000,0.000000,2.117222,2.245000,3.049444,NA,9.967778,3.065556,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.765556,46378,4.460556,0.148685,3.101667,0.103389,39.586964,0.400000,0.013333,5.662441,0.017213,5.171667,0.172389,0.374444,0.991667,0.000000,0.000000,0.000000,1.083889,0.545000,1.382778,NA,13.159445,5.591667,
3,cube0,22.701666,40863,1.802222,0.060074,1.729445,0.057648,6.328333,0.210944,1.445556,0.048185,22.430773,7.479445,0.249315,48.962318,0.000000,12.149445,0.404981,0.278889,0.978889,3.953889,0.000000,0.000000,0.205556,0.111667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.691112,NA,NA,
