block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,21.469999,38646,0.259463,0.265130,0.067185,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,25.882223,46588,0.051630,0.031778,0.012074,0.007778,0.000000,0.055574,0.011519,0.070481,
0,vector1,NA,NA,NA,NA,NA,NA,25.861111,46550,0.025815,0.015889,0.006037,0.003889,0.000000,0.035926,0.005759,0.070500,
1,cube0,22.408890,40336,0.249981,0.255648,0.062926,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,25.854445,46538,0.051630,0.031778,0.012074,0.007778,0.000000,0.049907,0.011519,0.070481,
1,vector1,NA,NA,NA,NA,NA,NA,25.814444,46466,0.025815,0.015889,0.006037,0.003889,0.000000,0.035778,0.005759,0.070481,
2,cube0,23.290556,41923,0.245537,0.251204,0.068593,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,25.841667,46515,0.051630,0.031778,0.012074,0.007778,0.000000,0.052537,0.011519,0.070463,
2,vector1,NA,NA,NA,NA,NA,NA,25.765556,46378,0.025815,0.015889,0.006037,0.003889,0.000000,0.031815,0.005759,0.070481,
3,cube0,22.701666,40863,0.231333,0.237000,0.056796,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,25.799444,46439,0.051630,0.031778,0.012074,0.007778,0.000000,0.053241,0.011519,0.070481,
3,vector1,NA,NA,NA,NA,NA,NA,25.762777,46373,0.025815,0.015889,0.006037,0.003889,0.000000,0.035778,0.005759,0.070500,
4,cube0,23.008333,41415,0.224500,0.230167,0.058056,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,25.820555,46477,0.051630,0.031778,0.012074,0.007778,0.000000,0.073296,0.011519,0.070481,
4,vector1,NA,NA,NA,NA,NA,NA,25.791111,46424,0.025815,0.015889,0.006037,0.003889,0.000000,0.037130,0.005759,0.070463,
5,cube0,23.459444,42227,0.225519,0.231185,0.066556,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,25.796667,46434,0.051630,0.031778,0.012074,0.007778,0.000000,0.078981,0.011519,0.070481,
5,vector1,NA,NA,NA,NA,NA,NA,25.737223,46327,0.025815,0.015889,0.006037,0.003889,0.000000,0.030519,0.005759,0.070500,
6,cube0,23.046667,41484,0.217000,0.222667,0.059574,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,25.738333,46329,0.051630,0.031778,0.012074,0.007778,0.000000,0.053074,0.011519,0.070481,
6,vector1,NA,NA,NA,NA,NA,NA,25.701111,46262,0.025815,0.015889,0.006037,0.003889,0.000000,0.034815,0.005759,0.070481,
7,cube0,22.758333,40965,0.218037,0.223704,0.061759,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,25.706667,46272,0.051630,0.031778,0.012074,0.007778,0.000000,0.056648,0.011519,0.070463,
7,vector1,NA,NA,NA,NA,NA,NA,25.656111,46181,0.025815,0.015889,0.006037,0.003889,0.000000,0.037259,0.005759,0.070463,
8,cube0,23.339445,42011,0.243222,0.248889,0.068167,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,25.673889,46213,0.051630,0.031778,0.012074,0.007778,0.000000,0.056278,0.011519,0.070500,
8,vector1,NA,NA,NA,NA,NA,NA,25.631666,46137,0.025815,0.015889,0.006037,0.003889,0.000000,0.033444,0.005759,0.070481,
9,cube0,22.602777,40685,0.213611,0.219278,0.064926,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,25.662777,46193,0.051630,0.031778,0.012074,0.007778,0.000000,0.054926,0.011519,0.070481,
9,vector1,NA,NA,NA,NA,NA,NA,25.622778,46121,0.025815,0.015889,0.006037,0.003889,0.000000,0.038481,0.005759,0.070481,
10,cube0,23.833334,42900,0.228296,0.233963,0.062981,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,25.656666,46182,0.051630,0.031778,0.012074,0.007778,0.000000,0.055704,0.011519,0.070463,
10,vector1,NA,NA,NA,NA,NA,NA,25.645555,46162,0.025815,0.015889,0.006037,0.003889,0.000000,0.034981,0.005759,0.070463,
11,cube0,24.996111,44993,0.231037,0.236704,0.059944,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,25.639444,46151,0.051630,0.031778,0.012074,0.007778,0.000000,0.072630,0.011519,0.070500,
11,vector1,NA,NA,NA,NA,NA,NA,25.636667,46146,0.025815,0.015889,0.006037,0.003889,0.000000,0.033907,0.005759,0.070500,
12,cube0,24.162777,43493,0.237389,0.243056,0.070630,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,25.627777,46130,0.051630,0.031778,0.012074,0.007778,0.000000,0.063278,0.011519,0.070481,
12,vector1,NA,NA,NA,NA,NA,NA,25.584444,46052,0.025815,0.015889,0.006037,0.003889,0.000000,0.041907,0.005759,0.070481,
13,cube0,24.812222,44662,0.224241,0.229907,0.062537,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,25.599445,46079,0.051630,0.031778,0.012074,0.007778,0.000000,0.075352,0.011519,0.070500,
13,vector1,NA,NA,NA,NA,NA,NA,25.568333,46023,0.025815,0.015889,0.006037,0.003889,0.000000,0.035019,0.005759,0.070481,
14,cube0,24.391666,43905,0.210685,0.216352,0.057648,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,25.620556,46117,0.051630,0.031778,0.012074,0.007778,0.000000,0.062981,0.011519,0.070481,
14,vector1,NA,NA,NA,NA,NA,NA,25.575001,46035,0.025815,0.015889,0.006037,0.003889,0.000000,0.034944,0.005759,0.070481,
15,cube0,24.126112,43427,0.212093,0.217759,0.055315,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,25.591667,46065,0.051630,0.031778,0.012074,0.007778,0.000000,0.070944,0.011519,0.070463,
15,vector1,NA,NA,NA,NA,NA,NA,25.572222,46030,0.025815,0.015889,0.006037,0.003889,0.000000,0.041389,0.005759,0.070481,
16,cube0,24.622223,44320,0.210389,0.216056,0.056870,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,25.579445,46043,0.051630,0.031778,0.012074,0.007778,0.000000,0.069556,0.011519,0.070500,
16,vector1,NA,NA,NA,NA,NA,NA,25.551666,45993,0.025815,0.015889,0.006037,0.003889,0.000000,0.035648,0.005759,0.070481,
17,cube0,24.932777,44879,0.214407,0.219926,0.058926,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,25.575001,46035,0.051630,0.031778,0.012074,0.007778,0.000000,0.069722,0.011519,0.070481,
17,vector1,NA,NA,NA,NA,NA,NA,25.546112,45983,0.025815,0.015889,0.006037,0.003889,0.000000,0.040556,0.005759,0.070481,
18,cube0,25.373888,45673,0.221019,0.226685,0.062870,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,25.586666,46056,0.051630,0.031778,0.012074,0.007778,0.000000,0.075167,0.011519,0.070463,
18,vector1,NA,NA,NA,NA,NA,NA,25.547222,45985,0.025815,0.015889,0.006037,0.003889,0.000000,0.032093,0.005759,0.070500,
19,cube0,25.223333,45402,0.207463,0.213130,0.058963,0.001315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,25.562778,46013,0.051630,0.031778,0.012074,0.007778,0.000000,0.077315,0.011519,0.070500,
19,vector1,NA,NA,NA,NA,NA,NA,25.551666,45993,0.025815,0.015889,0.006037,0.003889,0.000000,0.044981,0.005759,0.070481,
