block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,29.766666,53580,0.088639,0.088639,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.305557,67150,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.720554,64297,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
1,cube0,30.144444,54260,0.088319,0.088319,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.485556,56674,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.482779,56669,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
2,cube0,29.575001,53235,0.088639,0.088639,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.218334,66993,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.592777,64067,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
3,cube0,29.367222,52861,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.413334,56544,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.427778,56570,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
4,cube0,29.757223,53563,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.267223,67081,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.584446,64052,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
5,cube0,29.875555,53776,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.362778,56453,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
