block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,29.766666,53580,513,1089,126,1538,119,1535,32.022472,7.383966,15.406504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.305557,67150,4,146,2147,7,2142,8,2.666667,99.651489,96.385269,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.720554,64297,3,98,1452,0,1435,3,2.970297,99.896194,96.623199,
1,cube0,30.144444,54260,514,1088,3,1653,2,1660,32.084892,0.150693,10.548780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.485556,56674,4,98,1760,0,1760,2,3.921569,99.943214,97.240616,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.482779,56669,3,66,1187,2,1175,1,4.347826,99.873154,97.165161,
2,cube0,29.575001,53235,514,1088,120,1539,125,1534,32.084892,7.383966,15.426829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.218334,66993,4,146,2141,1,2166,0,2.666667,99.976784,96.702560,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.592777,64067,3,98,1441,2,1448,0,2.970297,99.930817,96.657753,
3,cube0,29.367222,52861,514,1088,2,1654,3,1659,32.084892,0.150693,10.548780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.413334,56544,4,98,1768,1,1759,0,3.921569,99.971657,97.272728,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.427778,56570,3,66,1181,3,1180,0,4.347826,99.873093,97.163994,
4,cube0,29.757223,53563,514,1088,2,1655,3,1658,32.084892,0.150693,10.548780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.267223,67081,4,146,2151,0,2154,1,2.666667,99.976776,96.701080,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.584446,64052,3,98,1449,0,1443,2,2.970297,99.930893,96.661102,
5,cube0,29.875555,53776,514,1088,121,1547,124,1526,32.084892,7.383966,15.426829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.362778,56453,4,98,1762,1,1761,0,3.921569,99.971626,97.269722,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.383333,56490,3,66,1187,1,1181,0,4.347826,99.957787,97.251846,
6,cube0,29.377222,52879,514,1088,122,1538,123,1535,32.084892,7.383966,15.426829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.191666,66945,4,146,2150,0,2152,2,2.666667,99.953529,96.677147,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.499443,63899,3,98,1443,0,1445,1,2.970297,99.965385,96.688965,
7,cube0,29.592222,53266,513,1089,3,1656,2,1657,32.022472,0.150693,10.528456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.309444,56357,4,98,1754,1,1770,0,3.921569,99.971634,97.270470,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.334444,56402,3,66,1172,1,1190,0,4.347826,99.957680,97.245064,
8,cube0,23.629444,42533,2,1088,128,1017,117,1032,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.772221,67990,4,146,1774,1,1761,0,2.666667,99.971718,96.011940,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.948334,64707,3,98,1192,1,1183,0,2.970297,99.957916,96.003227,
9,cube0,23.396111,42113,1,1089,3,1144,2,1145,0.091743,0.217960,0.177305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.276667,56298,4,98,1177,1,1188,1,3.921569,99.915504,95.949776,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.258888,56266,3,66,800,0,792,1,4.347826,99.937225,95.968712,
