block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,29.766666,53580,19.577690,10.115238,9.756500,18.836691,54,0.072958,30,0.182014,18,0.025764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.831530,35.000000,0.412843,0.000000,0.000000,768.000000,8.630941,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.305557,67150,1.726060,12.479382,12.655810,1.746643,50,0.186389,11,0.036958,538.000000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.670899,73.375000,0.924015,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.720554,64297,1.158548,8.321548,8.497976,1.179131,34,0.145736,8,0.025972,361.250000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.781491,49.250000,0.620208,
1,cube0,30.144444,54260,19.577690,10.115238,9.756500,18.836691,54,0.072181,30,0.150889,18,0.048514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.831530,35.000000,0.412843,0.000000,0.000000,768.000000,8.630941,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.485556,56674,1.161488,10.221096,10.356358,1.182071,38,0.181889,8,0.024194,440.250000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.644686,49.375000,0.621782,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.482779,56669,0.782167,6.816024,6.954226,0.802750,26,0.135111,6,0.020375,295.625000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,3.097348,33.250000,0.418719,
2,cube0,29.575001,53235,19.577690,10.115238,9.756500,18.836691,54,0.072972,30,0.138917,18,0.036375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.831530,35.000000,0.412843,0.000000,0.000000,768.000000,8.630941,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.218334,66993,1.726060,12.479382,12.667571,1.746643,50,0.200194,11,0.036875,538.500000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.670899,73.375000,0.924015,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.592777,64067,1.158548,8.321548,8.500917,1.179131,34,0.138139,8,0.024625,361.375000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.781491,49.250000,0.620208,
3,cube0,29.367222,52861,19.577690,10.115238,9.756500,18.836691,54,0.071764,30,0.150917,18,0.038181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.831530,35.000000,0.412843,0.000000,0.000000,768.000000,8.630941,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.413334,56544,1.161488,10.221096,10.374001,1.182071,38,0.151222,8,0.025597,441.000000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.644686,49.375000,0.621782,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.427778,56570,0.782167,6.816024,6.951286,0.802750,26,0.122986,6,0.028139,295.500000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,3.097348,33.250000,0.418719,
