block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,29.766666,53580,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.305557,67150,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.720554,64297,
1,cube0,30.144444,54260,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.485556,56674,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.482779,56669,
2,cube0,29.575001,53235,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.218334,66993,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.592777,64067,
3,cube0,29.367222,52861,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.413334,56544,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.427778,56570,
4,cube0,29.757223,53563,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.267223,67081,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.584446,64052,
5,cube0,29.875555,53776,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.362778,56453,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.383333,56490,
6,cube0,29.377222,52879,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.191666,66945,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.499443,63899,
7,cube0,29.592222,53266,18.066286,9.033143,72.265144,9.033143,0.000000,18.066286,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.309444,56357,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.334444,56402,
8,cube0,23.629444,42533,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.772221,67990,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.948334,64707,
9,cube0,23.396111,42113,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.276667,56298,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.258888,56266,
10,cube0,24.347221,43825,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.233889,56221,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.263889,56275,
11,cube0,23.407223,42133,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.736668,67926,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.920555,64657,
12,cube0,25.193890,45349,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.225555,56206,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.253334,56256,
13,cube0,24.882778,44789,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.196112,56153,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.224445,56204,
14,cube0,24.442778,43997,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.538334,67569,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.771111,64388,
15,cube0,25.594999,46071,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.172777,56111,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.207222,56173,
16,cube0,24.786667,44616,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.170000,56106,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.188334,56139,
17,cube0,24.549999,44190,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.580555,67645,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.696667,64254,
18,cube0,24.407223,43933,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.144444,56060,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.169445,56105,
19,cube0,25.038889,45070,12.044191,6.022096,48.176765,6.022096,0.000000,12.044191,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31.135000,56043,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,31.187222,56137,
