block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,29.766666,53580,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,37.305557,67150,63.384911,66.895836,0.002205,0.011394,
0,vector1,NA,NA,35.720554,64297,42.284050,45.636192,0.002205,0.008086,
1,cube0,30.144444,54260,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,31.485556,56674,53.751904,53.346119,0.002205,0.011394,
1,vector1,NA,NA,31.482779,56669,35.862049,36.603050,0.002205,0.008086,
2,cube0,29.575001,53235,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,37.218334,66993,63.384911,66.895836,0.002205,0.011394,
2,vector1,NA,NA,35.592777,64067,42.284050,45.636192,0.002205,0.008086,
3,cube0,29.367222,52861,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,31.413334,56544,53.751904,53.346119,0.002205,0.011394,
3,vector1,NA,NA,31.427778,56570,35.862049,36.603050,0.002205,0.008086,
4,cube0,29.757223,53563,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,37.267223,67081,63.384911,66.895836,0.002205,0.011394,
4,vector1,NA,NA,35.584446,64052,42.284050,45.636192,0.002205,0.008086,
5,cube0,29.875555,53776,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,31.362778,56453,53.751904,53.346119,0.002205,0.011394,
5,vector1,NA,NA,31.383333,56490,35.862049,36.603050,0.002205,0.008086,
6,cube0,29.377222,52879,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,37.191666,66945,63.384911,66.895836,0.002205,0.011394,
6,vector1,NA,NA,35.499443,63899,42.284050,45.636192,0.002205,0.008086,
7,cube0,29.592222,53266,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,31.309444,56357,53.751904,53.346119,0.002205,0.011394,
7,vector1,NA,NA,31.334444,56402,35.862049,36.603050,0.002205,0.008086,
8,cube0,23.629444,42533,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,37.772221,67990,46.094906,51.281906,0.002205,0.011394,
8,vector1,NA,NA,35.948334,64707,30.757383,35.226906,0.002205,0.008086,
9,cube0,23.396111,42113,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,31.276667,56298,35.862049,36.603050,0.002205,0.011394,
9,vector1,NA,NA,31.258888,56266,23.935478,25.441002,0.002205,0.008086,
10,cube0,24.347221,43825,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,31.233889,56221,35.862049,36.603050,0.002205,0.011394,
10,vector1,NA,NA,31.263889,56275,23.935478,25.441002,0.002205,0.008086,
11,cube0,23.407223,42133,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,37.736668,67926,46.094906,51.281906,0.002205,0.011394,
11,vector1,NA,NA,35.920555,64657,30.757383,35.226906,0.002205,0.008086,
12,cube0,25.193890,45349,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,31.225555,56206,35.862049,36.603050,0.002205,0.011394,
12,vector1,NA,NA,31.253334,56256,23.935478,25.441002,0.002205,0.008086,
13,cube0,24.882778,44789,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,31.196112,56153,35.862049,36.603050,0.002205,0.011394,
13,vector1,NA,NA,31.224445,56204,23.935478,25.441002,0.002205,0.008086,
14,cube0,24.442778,43997,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,37.538334,67569,46.094906,51.281906,0.002205,0.011394,
14,vector1,NA,NA,35.771111,64388,30.757383,35.226906,0.002205,0.008086,
15,cube0,25.594999,46071,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,31.172777,56111,35.862049,36.603050,0.002205,0.011394,
15,vector1,NA,NA,31.207222,56173,23.935478,25.441002,0.002205,0.008086,
16,cube0,24.786667,44616,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,31.170000,56106,35.862049,36.603050,0.002205,0.011394,
16,vector1,NA,NA,31.188334,56139,23.935478,25.441002,0.002205,0.008086,
17,cube0,24.549999,44190,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,37.580555,67645,46.094906,51.281906,0.002205,0.011394,
17,vector1,NA,NA,35.696667,64254,30.757383,35.226906,0.002205,0.008086,
18,cube0,24.407223,43933,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,31.144444,56060,35.862049,36.603050,0.002205,0.011394,
18,vector1,NA,NA,31.169445,56105,23.935478,25.441002,0.002205,0.008086,
19,cube0,25.038889,45070,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,31.135000,56043,35.862049,36.603050,0.002205,0.011394,
19,vector1,NA,NA,31.187222,56137,23.935478,25.441002,0.002205,0.008086,
