block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,29.766666,53580,3.545556,0.088639,2.918333,0.072958,7.280556,0.182014,1.030556,0.025764,32.388935,9.824445,0.245611,74.550972,0.000000,14.047222,0.351181,0.260000,0.943333,2.894444,0.000000,0.000000,0.000000,0.137222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.336111,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.305557,67150,23.014444,0.575361,7.455555,0.186389,67.858688,1.478333,0.036958,47.334282,0.013981,7.757778,0.193944,1.265000,2.813889,0.000000,0.000000,0.000000,13.161111,0.540000,2.896111,NA,7.597222,1.611111,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.720554,64297,16.075556,0.401889,5.829444,0.145736,57.872116,1.038889,0.025972,45.210281,0.018298,9.095555,0.227389,0.922778,2.060555,0.000000,0.000000,0.000000,7.342222,0.435000,2.454444,NA,6.567778,7.615556,
1,cube0,30.144444,54260,3.532778,0.088319,2.887222,0.072181,6.035555,0.150889,1.940556,0.048514,17.200539,8.287778,0.207194,88.373726,0.000000,13.251667,0.331292,0.260556,0.950556,1.955556,0.000000,0.000000,0.000000,0.113889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.830555,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.485556,56674,19.392778,0.484819,7.275556,0.181889,56.953930,0.967778,0.024194,48.655457,0.014655,9.105556,0.227639,1.183333,2.678889,0.000000,0.000000,0.000000,13.132222,0.231111,3.978333,NA,5.081111,0.392778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.482779,56669,13.661111,0.341528,5.404444,0.135111,51.129612,0.815000,0.020375,38.907574,0.018742,8.145000,0.203625,0.861667,1.958333,0.000000,0.000000,0.000000,6.730000,0.157778,1.942778,NA,6.864444,5.843333,
2,cube0,29.575001,53235,3.545556,0.088639,2.918889,0.072972,5.556667,0.138917,1.455000,0.036375,22.940617,7.795556,0.194889,93.953773,0.000000,14.600000,0.365000,0.271667,0.976667,1.381667,0.000000,0.000000,0.000000,0.123333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.217222,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.218334,66993,23.014444,0.575361,8.007778,0.200194,63.179104,1.475000,0.036875,47.441254,0.014057,10.790000,0.269750,1.276111,2.843889,0.000000,0.000000,0.000000,12.561666,0.237778,1.747222,NA,3.620556,0.289444,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.592777,64067,16.075556,0.401889,5.525556,0.138139,61.054913,0.985000,0.024625,47.683716,0.019690,7.141111,0.178528,0.931667,2.091667,0.000000,0.000000,0.000000,6.632778,1.173333,2.565000,NA,9.093333,6.248333,
3,cube0,29.367222,52861,3.556667,0.088917,2.870556,0.071764,6.036667,0.150917,1.527222,0.038181,21.855759,8.149445,0.203736,89.873833,0.000000,14.372222,0.359306,0.273333,0.983333,2.493333,0.000000,0.000000,0.000000,0.146667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.653889,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.413334,56544,19.392778,0.484819,6.048889,0.151222,68.503738,1.023889,0.025597,45.989040,0.016030,8.897223,0.222431,1.195000,2.708889,0.000000,0.000000,0.000000,12.487778,0.328333,2.937778,NA,6.806667,1.563333,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.427778,56570,13.661111,0.341528,4.919445,0.122986,56.170391,1.125556,0.028139,28.172462,0.018998,8.402223,0.210056,0.874444,1.987778,0.000000,0.000000,0.000000,6.651111,0.156111,2.532778,NA,6.668334,6.627222,
4,cube0,29.757223,53563,3.556667,0.088917,2.898889,0.072472,5.986667,0.149667,2.595556,0.064889,12.859907,8.190556,0.204764,89.422729,0.000000,15.586667,0.389667,0.277222,1.007778,1.505556,0.000000,0.000000,0.000000,0.136111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.982222,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.267223,67081,23.014444,0.575361,7.715556,0.192889,65.571976,1.555000,0.038875,45.000549,0.014157,10.706667,0.267667,1.283333,2.872222,0.000000,0.000000,0.000000,12.535556,0.340000,3.191667,NA,5.786111,1.145555,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.584446,64052,16.075556,0.401889,5.998889,0.149972,56.237461,1.077222,0.026931,43.601460,0.018055,9.150556,0.228764,0.940000,2.119444,0.000000,0.000000,0.000000,6.676667,0.356111,2.600556,NA,7.555000,6.611667,
5,cube0,29.875555,53776,3.556667,0.088917,2.866667,0.071667,5.307222,0.132681,2.920000,0.073000,11.431028,7.378334,0.184458,99.266571,0.000000,15.345000,0.383625,0.277778,1.015000,1.512222,0.000000,0.000000,0.000000,0.117778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.836111,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.362778,56453,19.392778,0.484819,6.252222,0.156306,66.275871,0.917222,0.022931,51.337254,0.016075,9.106667,0.227667,1.202222,2.737222,0.000000,0.000000,0.000000,12.610000,0.281667,3.087222,NA,6.265555,1.011667,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.383333,56490,13.661111,0.341528,5.310000,0.132750,52.039009,0.883889,0.022097,35.875179,0.019385,8.136111,0.203403,0.881667,2.016111,0.000000,0.000000,0.000000,6.877778,0.370000,2.901667,NA,7.498333,6.306667,
6,cube0,29.377222,52879,3.532778,0.088319,2.865556,0.071639,6.072222,0.151806,2.653889,0.066347,12.577241,8.204445,0.205111,89.271355,0.000000,11.795000,0.294875,0.283889,1.038333,2.148333,0.000000,0.000000,0.000000,0.115000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.854445,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.191666,66945,23.014444,0.575361,7.435555,0.185889,68.041214,1.483333,0.037083,47.174732,0.013720,10.713889,0.267847,1.291111,2.899444,0.000000,0.000000,0.000000,12.960000,0.172222,2.967222,NA,4.480000,0.741111,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.499443,63899,16.075556,0.401889,5.970000,0.149250,56.509598,1.010000,0.025250,46.503426,0.017059,9.350000,0.233750,0.946667,2.147222,0.000000,0.000000,0.000000,7.330000,0.313333,3.529444,NA,5.729445,6.576667,
7,cube0,29.592222,53266,3.545556,0.088639,2.852778,0.071319,5.491111,0.137278,2.772222,0.069306,12.040377,7.495555,0.187389,97.714157,0.000000,11.303889,0.282597,0.284444,1.045556,1.481667,0.000000,0.000000,0.000000,0.142222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.370556,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.309444,56357,19.392778,0.484819,7.128889,0.178222,58.125675,0.928889,0.023222,50.692467,0.015878,9.422778,0.235569,1.209444,2.765000,0.000000,0.000000,0.000000,13.170000,0.338889,3.941111,NA,4.373889,1.690556,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.334444,56402,13.661111,0.341528,5.653889,0.141347,48.873821,1.270000,0.031750,24.968246,0.019510,8.664444,0.216611,0.890000,2.043333,0.000000,0.000000,0.000000,6.746111,0.177222,3.461111,NA,5.537778,6.631111,
8,cube0,23.629444,42533,2.371111,0.059278,1.917778,0.047944,3.782778,0.094569,2.731111,0.068278,12.047026,4.828889,0.120722,101.116684,0.000000,8.628333,0.215708,0.231111,0.826667,1.483333,0.000000,0.000000,0.000000,0.109444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.753333,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.772221,67990,17.711111,0.442778,6.897778,0.172444,59.969494,1.535000,0.038375,45.586876,0.016680,10.216666,0.255417,0.976667,2.200000,0.000000,0.000000,0.000000,7.752778,0.155556,3.450556,NA,3.633889,7.137778,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.948334,64707,12.540000,0.313500,5.651111,0.141278,48.813461,1.215556,0.030389,38.639500,0.021214,8.777778,0.219444,0.735000,1.672222,0.000000,0.000000,0.000000,4.858333,0.304444,3.680556,NA,4.246111,11.653334,
9,cube0,23.396111,42113,2.371111,0.059278,1.945556,0.048639,3.850556,0.096264,1.214444,0.030361,27.092030,5.071667,0.126792,96.276283,0.000000,8.530000,0.213250,0.231667,0.833889,1.418333,0.000000,0.000000,0.000000,0.141667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.545000,NA,NA,
