block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,29.766666,53580,0.200153,0.197944,0.064500,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,37.305557,67150,0.078375,0.041000,0.011125,0.026250,0.000000,0.074528,0.008236,0.146250,
0,vector1,NA,NA,NA,NA,NA,NA,35.720554,64297,0.052250,0.027333,0.007417,0.017500,0.000000,0.067528,0.005597,0.115097,
1,cube0,30.144444,54260,0.169097,0.167458,0.053375,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,31.485556,56674,0.078375,0.041000,0.011125,0.026250,0.000000,0.058875,0.000000,0.146139,
1,vector1,NA,NA,NA,NA,NA,NA,31.482779,56669,0.052250,0.027333,0.007417,0.017500,0.000000,0.054125,0.000000,0.115125,
2,cube0,29.575001,53235,0.157583,0.154389,0.060972,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,37.218334,66993,0.078375,0.041000,0.011125,0.026250,0.000000,0.073861,0.007875,0.146181,
2,vector1,NA,NA,NA,NA,NA,NA,35.592777,64067,0.052250,0.027333,0.007417,0.017500,0.000000,0.059514,0.005931,0.115069,
3,cube0,29.367222,52861,0.169125,0.167403,0.061236,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,31.413334,56544,0.078375,0.041000,0.011125,0.026250,0.000000,0.044792,0.000000,0.146167,
3,vector1,NA,NA,NA,NA,NA,NA,31.427778,56570,0.052250,0.027333,0.007417,0.017500,0.000000,0.046444,0.000000,0.115153,
4,cube0,29.757223,53563,0.167875,0.162194,0.068153,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,37.267223,67081,0.078375,0.041000,0.011125,0.026250,0.000000,0.069639,0.008458,0.146264,
4,vector1,NA,NA,NA,NA,NA,NA,35.584446,64052,0.052250,0.027333,0.007417,0.017500,0.000000,0.054653,0.004792,0.115056,
5,cube0,29.875555,53776,0.150889,0.146069,0.058917,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,31.362778,56453,0.078375,0.041000,0.011125,0.026250,0.000000,0.041014,0.000000,0.146222,
5,vector1,NA,NA,NA,NA,NA,NA,31.383333,56490,0.052250,0.027333,0.007417,0.017500,0.000000,0.050028,0.000000,0.115111,
6,cube0,29.377222,52879,0.172097,0.165708,0.058528,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,37.191666,66945,0.078375,0.041000,0.011125,0.026250,0.000000,0.072681,0.008681,0.146264,
6,vector1,NA,NA,NA,NA,NA,NA,35.499443,63899,0.052250,0.027333,0.007417,0.017500,0.000000,0.057472,0.004583,0.115125,
7,cube0,29.592222,53266,0.155486,0.149750,0.060875,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,31.309444,56357,0.078375,0.041000,0.011125,0.026250,0.000000,0.049819,0.000000,0.146208,
7,vector1,NA,NA,NA,NA,NA,NA,31.334444,56402,0.052250,0.027333,0.007417,0.017500,0.000000,0.048431,0.000000,0.115153,
8,cube0,23.629444,42533,0.102889,0.107444,0.065500,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,37.772221,67990,0.052250,0.027333,0.007417,0.017500,0.000000,0.059444,0.008264,0.146292,
8,vector1,NA,NA,NA,NA,NA,NA,35.948334,64707,0.034833,0.018222,0.004944,0.011667,0.000000,0.041361,0.004722,0.115181,
9,cube0,23.396111,42113,0.104583,0.111208,0.064764,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,31.276667,56298,0.052250,0.027333,0.007417,0.017500,0.000000,0.040625,0.000000,0.146194,
9,vector1,NA,NA,NA,NA,NA,NA,31.258888,56266,0.034833,0.018222,0.004944,0.011667,0.000000,0.027083,0.000000,0.115167,
10,cube0,24.347221,43825,0.093722,0.100014,0.057819,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,31.233889,56221,0.052250,0.027333,0.007417,0.017500,0.000000,0.046764,0.000000,0.146250,
10,vector1,NA,NA,NA,NA,NA,NA,31.263889,56275,0.034833,0.018222,0.004944,0.011667,0.000000,0.025653,0.000000,0.115097,
11,cube0,23.407223,42133,0.103750,0.108486,0.064694,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,37.736668,67926,0.052250,0.027333,0.007417,0.017500,0.000000,0.063861,0.008875,0.146292,
11,vector1,NA,NA,NA,NA,NA,NA,35.920555,64657,0.034833,0.018222,0.004944,0.011667,0.000000,0.045722,0.004597,0.115194,
12,cube0,25.193890,45349,0.113167,0.119264,0.059417,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,31.225555,56206,0.052250,0.027333,0.007417,0.017500,0.000000,0.037472,0.000000,0.146236,
12,vector1,NA,NA,NA,NA,NA,NA,31.253334,56256,0.034833,0.018222,0.004944,0.011667,0.000000,0.023653,0.000000,0.115111,
13,cube0,24.882778,44789,0.103708,0.108861,0.054431,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,31.196112,56153,0.052250,0.027333,0.007417,0.017500,0.000000,0.040778,0.000000,0.146222,
13,vector1,NA,NA,NA,NA,NA,NA,31.224445,56204,0.034833,0.018222,0.004944,0.011667,0.000000,0.026764,0.000000,0.115139,
14,cube0,24.442778,43997,0.104972,0.111569,0.057944,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,37.538334,67569,0.052250,0.027333,0.007417,0.017500,0.000000,0.065861,0.009139,0.146236,
14,vector1,NA,NA,NA,NA,NA,NA,35.771111,64388,0.034833,0.018222,0.004944,0.011667,0.000000,0.043764,0.005208,0.115153,
15,cube0,25.594999,46071,0.113694,0.118486,0.062111,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,31.172777,56111,0.052250,0.027333,0.007417,0.017500,0.000000,0.046792,0.000000,0.146222,
15,vector1,NA,NA,NA,NA,NA,NA,31.207222,56173,0.034833,0.018222,0.004944,0.011667,0.000000,0.025042,0.000000,0.115111,
16,cube0,24.786667,44616,0.113639,0.118944,0.063639,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,31.170000,56106,0.052250,0.027333,0.007417,0.017500,0.000000,0.034375,0.000000,0.146194,
16,vector1,NA,NA,NA,NA,NA,NA,31.188334,56139,0.034833,0.018222,0.004944,0.011667,0.000000,0.026264,0.000000,0.115167,
17,cube0,24.549999,44190,0.099208,0.105903,0.061000,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,37.580555,67645,0.052250,0.027333,0.007417,0.017500,0.000000,0.082097,0.009111,0.146222,
17,vector1,NA,NA,NA,NA,NA,NA,35.696667,64254,0.034833,0.018222,0.004944,0.011667,0.000000,0.053083,0.004431,0.115153,
18,cube0,24.407223,43933,0.103750,0.109167,0.056528,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,31.144444,56060,0.052250,0.027333,0.007417,0.017500,0.000000,0.042861,0.000000,0.146194,
18,vector1,NA,NA,NA,NA,NA,NA,31.169445,56105,0.034833,0.018222,0.004944,0.011667,0.000000,0.026903,0.000000,0.115139,
19,cube0,25.038889,45070,0.112028,0.114375,0.065167,0.000986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,31.135000,56043,0.052250,0.027333,0.007417,0.017500,0.000000,0.033736,0.000000,0.146250,
19,vector1,NA,NA,NA,NA,NA,NA,31.187222,56137,0.034833,0.018222,0.004944,0.011667,0.000000,0.025264,0.000000,0.115167,
