block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,99.332222,178798,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,101.903893,183427,109.739845,82.491943,0.001332,0.087535,
0,vector1,NA,NA,101.843330,183318,83.212471,63.007839,0.001332,0.083271,
1,cube0,99.426666,178968,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,101.913330,183444,109.739845,82.764809,0.001332,0.087535,
1,vector1,NA,NA,101.928886,183472,83.212471,63.280704,0.001332,0.083271,
2,cube0,99.673889,179413,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,100.056664,180102,108.173019,80.494507,0.001332,0.087535,
2,vector1,NA,NA,100.050003,180090,81.645645,61.010399,0.001332,0.083271,
3,cube0,99.587219,179257,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,108.451668,195213,100.159805,77.904442,0.001332,0.085403,
3,vector1,NA,NA,108.771111,195788,59.351910,47.772293,0.001332,0.079008,
4,cube0,99.580002,179244,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,106.591667,191865,98.592979,76.179855,0.001332,0.085403,
4,vector1,NA,NA,106.415001,191547,57.785076,46.047714,0.001332,0.079008,
5,cube0,99.498337,179097,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,102.127777,183830,95.459320,71.912117,0.001332,0.085403,
5,vector1,NA,NA,102.227776,184010,54.651417,41.779972,0.001332,0.079008,
6,cube0,99.639442,179351,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,102.293335,184128,109.739845,82.560158,0.001332,0.087535,
6,vector1,NA,NA,102.312225,184162,83.212471,63.076057,0.001332,0.083271,
7,cube0,99.639442,179351,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,102.252777,184055,109.739845,82.833023,0.001332,0.087535,
7,vector1,NA,NA,102.302223,184144,83.212471,63.348919,0.001332,0.083271,
8,cube0,99.738892,179530,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,100.113335,180204,108.173019,80.494507,0.001332,0.087535,
8,vector1,NA,NA,100.120552,180217,81.645645,61.010399,0.001332,0.083271,
9,cube0,99.797226,179635,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,108.227219,194809,100.159805,77.836227,0.001332,0.085403,
9,vector1,NA,NA,108.313332,194964,59.351910,47.704079,0.001332,0.079008,
10,cube0,100.019447,180035,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,108.404999,195129,100.159805,78.109093,0.001332,0.085403,
10,vector1,NA,NA,108.482780,195269,59.351910,47.976940,0.001332,0.079008,
11,cube0,99.728333,179511,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,100.032776,180059,93.892494,69.914680,0.001332,0.085403,
11,vector1,NA,NA,100.112221,180202,53.084591,39.782536,0.001332,0.079008,
12,cube0,99.620003,179316,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,102.158890,183886,109.739845,82.560158,0.001332,0.087535,
12,vector1,NA,NA,102.248886,184048,83.212471,63.076057,0.001332,0.083271,
13,cube0,99.813332,179664,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,102.358330,184245,109.739845,82.833023,0.001332,0.087535,
13,vector1,NA,NA,102.449448,184409,83.212471,63.348919,0.001332,0.083271,
14,cube0,99.699448,179459,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,102.313889,184165,109.739845,82.560158,0.001332,0.087535,
14,vector1,NA,NA,102.334999,184203,83.212471,63.076057,0.001332,0.083271,
15,cube0,99.588333,179259,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,106.301666,191343,98.592979,75.906998,0.001332,0.085403,
15,vector1,NA,NA,106.332779,191399,57.785076,45.774853,0.001332,0.079008,
16,cube0,99.802223,179644,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,108.442223,195196,100.159805,78.109093,0.001332,0.085403,
16,vector1,NA,NA,108.349998,195030,59.351910,47.976940,0.001332,0.079008,
17,cube0,100.069443,180125,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,102.254997,184059,95.459320,71.843903,0.001332,0.085403,
17,vector1,NA,NA,102.287781,184118,54.651417,41.711758,0.001332,0.079008,
18,cube0,98.848892,177928,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,99.021667,178239,108.173019,80.494507,0.001332,0.087535,
18,vector1,NA,NA,99.054443,178298,81.645645,61.010399,0.001332,0.083271,
19,cube0,98.703331,177666,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,98.676666,177618,13.293531,10.078867,0.000266,0.071547,
19,vector1,NA,NA,98.677223,177619,0.029844,0.336815,0.000266,0.069415,
