block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,99.426666,178968,43.846218,12.057710,12.063063,43.860134,1283,0.167122,30,0.129670,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.567314,6.500000,0.027912,0.000000,0.000000,5120.000000,20.946978,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.987778,183578,0.616587,17.949545,17.955967,0.631574,387,0.229990,8,0.009505,2096.750000,73.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.156659,72.000000,0.330079,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.991112,183584,0.616587,13.530668,13.537091,0.631574,291,0.175756,8,0.009054,1580.750000,73.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.148627,72.000000,0.330079,
1,cube0,99.441666,178995,43.846218,12.605787,12.611140,43.860134,1283,0.167122,34,0.141431,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472.625000,5121.625000,1472.000000,4.774920,6.500000,0.027912,0.000000,0.000000,5120.000000,20.946978,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.978333,183561,0.890626,17.949545,17.955967,0.905613,387,0.226592,10,0.011962,2096.750000,105.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.156659,104.000000,0.476781,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.960556,183529,0.890626,13.530668,13.537091,0.905613,291,0.165225,10,0.013128,1580.750000,105.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.148627,104.000000,0.476781,
2,cube0,99.455559,179020,43.846218,12.057710,12.063063,43.860134,1283,0.167122,30,0.132923,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.567314,6.500000,0.027912,0.000000,0.000000,5120.000000,20.946978,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.824448,179684,0.548078,17.675507,17.681929,0.563064,385,0.213814,7,0.009464,2064.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,2064.000000,8.032130,64.000000,0.293403,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.838333,179709,0.548078,13.256630,13.263052,0.563064,289,0.159680,7,0.008383,1548.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,1548.000000,6.024098,64.000000,0.293403,
3,cube0,99.278336,178701,43.846218,12.057710,12.063063,43.860134,1283,0.166882,30,0.150385,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.567314,6.500000,0.027912,0.000000,0.000000,5120.000000,20.946978,NA,NA,NA,NA,
