block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,99.426666,178968,0.387437,0.258048,0.051096,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,101.987778,183578,0.118003,0.094670,0.006517,0.016817,0.000000,0.252763,0.516256,0.013198,
0,vector1,NA,NA,NA,NA,NA,NA,101.991112,183584,0.088754,0.071006,0.005135,0.012613,0.000000,0.193944,0.406557,0.002603,
1,cube0,99.441666,178995,0.375160,0.245180,0.051772,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,101.978333,183561,0.118003,0.094670,0.006517,0.016817,0.000000,0.249204,0.511081,0.023709,
1,vector1,NA,NA,NA,NA,NA,NA,101.960556,183529,0.088754,0.071006,0.005135,0.012613,0.000000,0.183729,0.396622,0.002603,
2,cube0,99.455559,179020,0.381837,0.250921,0.051772,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,99.824448,179684,0.117688,0.094665,0.006206,0.016817,0.000000,0.236251,0.500475,0.012292,
2,vector1,NA,NA,NA,NA,NA,NA,99.838333,179709,0.088438,0.071001,0.004825,0.012613,0.000000,0.177883,0.391727,0.001727,
3,cube0,99.278336,178701,0.390225,0.258378,0.051356,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,107.986115,194375,0.103979,0.082848,0.006416,0.014715,0.000000,0.226501,0.436537,0.015075,
3,vector1,NA,NA,NA,NA,NA,NA,108.014442,194426,0.059760,0.047347,0.004004,0.008408,0.000000,0.128519,0.263103,0.014229,
4,cube0,99.267220,178681,0.393504,0.264004,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,106.006668,190812,0.103664,0.082843,0.006106,0.014715,0.000000,0.214234,0.426091,0.024965,
4,vector1,NA,NA,NA,NA,NA,NA,105.974442,190754,0.059444,0.047342,0.003694,0.008408,0.000000,0.133248,0.269910,0.024124,
5,cube0,99.254997,178659,0.388298,0.260551,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,101.883331,183390,0.103033,0.082833,0.005485,0.014715,0.000000,0.218979,0.433223,0.012497,
5,vector1,NA,NA,NA,NA,NA,NA,101.918892,183454,0.058814,0.047332,0.003073,0.008408,0.000000,0.132608,0.268829,0.011657,
6,cube0,99.276665,178698,0.371802,0.244249,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,101.941666,183495,0.118003,0.094670,0.006517,0.016817,0.000000,0.247643,0.511156,0.013198,
6,vector1,NA,NA,NA,NA,NA,NA,101.837219,183307,0.088754,0.071006,0.005135,0.012613,0.000000,0.197487,0.406817,0.002603,
7,cube0,99.451111,179012,0.381702,0.251376,0.050506,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
