block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,99.217781,178592,8193,2048,3319,2312,3337,2301,80.001953,59.064690,69.033005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.758888,183166,33,112,8377,2,8395,0,22.758621,99.988075,99.326202,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.767220,183181,49,96,6303,1,6342,0,33.793102,99.992096,99.241653,
1,cube0,99.123337,178422,8193,2048,3519,2374,3525,2363,80.001953,59.791191,69.189903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.646111,182963,49,160,8397,1,8375,1,23.444977,99.988075,99.046104,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.584999,182853,33,176,6307,0,6338,1,15.789474,99.992096,98.623100,
2,cube0,99.317780,178772,8193,2048,3264,2364,3268,2373,80.001953,57.964329,68.456535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.695557,179452,33,96,8279,0,8237,2,25.581396,99.987892,99.411308,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.719444,179495,33,96,6160,1,6229,0,25.581396,99.991928,99.225174,
3,cube0,99.099442,178379,8193,2048,2509,3135,2487,3138,80.001953,44.334015,61.315666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.876114,194177,49,144,7752,1,7724,1,25.388601,99.987076,99.068344,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.960556,194329,113,64,4622,0,4663,1,63.841808,99.989227,99.313118,
4,cube0,99.089996,178362,8193,2048,2491,3387,2505,3398,80.001953,42.407265,59.890110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.018890,190834,67,174,7647,1,7574,0,27.800829,99.993431,98.868263,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.985001,190773,79,146,4516,2,4512,0,35.111111,99.977852,98.400864,
5,cube0,99.074448,178334,8193,2048,2244,3389,2240,3396,80.001953,39.790577,58.935379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.720558,183097,49,96,7352,1,7356,1,33.793102,99.986404,99.340286,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.760002,183168,65,64,4234,0,4283,1,50.387596,99.988258,99.248291,
6,cube0,99.095001,178371,8193,2048,3342,2305,3318,2304,80.001953,59.100185,69.051605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.687775,183038,49,112,8413,0,8360,1,30.434782,99.994041,99.332741,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.752777,183155,65,96,6347,0,6297,2,40.372669,99.984184,99.234795,
7,cube0,99.143890,178459,8193,2048,3546,2363,3498,2374,80.001953,59.791191,69.189903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.831108,183296,49,176,8364,2,8408,0,21.777779,99.988075,98.952881,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.761108,183170,65,160,6371,0,6274,1,28.888889,99.992096,98.749123,
