block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,101.315002,182367,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,103.830559,186895,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,103.883331,186990,
1,cube0,101.540558,182773,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.012222,187222,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.048889,187288,
2,cube0,101.484444,182672,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.777222,183199,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.900558,183421,
3,cube0,101.352219,182434,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,110.051109,198092,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,110.235558,198424,
4,cube0,101.306114,182351,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,108.201668,194763,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,108.168335,194703,
5,cube0,101.292221,182326,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,103.962219,187132,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,103.967781,187142,
6,cube0,101.643333,182958,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.278336,187701,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.288887,187720,
7,cube0,101.629997,182934,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.242775,187637,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.248886,187648,
8,cube0,101.746109,183143,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,102.089447,183761,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,102.099442,183779,
9,cube0,101.854446,183338,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,110.261665,198471,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,110.311111,198560,
10,cube0,101.824997,183285,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,110.239441,198431,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,110.267220,198481,
11,cube0,101.702774,183065,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,102.087219,183757,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,102.048889,183688,
12,cube0,101.673889,183013,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.281113,187706,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.312775,187763,
13,cube0,101.665001,182997,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.231667,187617,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.253891,187657,
14,cube0,101.610558,182899,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.337219,187807,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.377220,187879,
15,cube0,101.523888,182743,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,108.217781,194792,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,108.464996,195237,
16,cube0,101.746109,183143,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,110.583885,199051,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,110.438889,198790,
17,cube0,102.121666,183819,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,104.290001,187722,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,104.363335,187854,
18,cube0,100.833885,181501,42.748337,21.374168,170.993347,21.374168,0.000000,42.748337,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.007225,181813,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.053337,181896,
19,cube0,100.682777,181229,8.549667,4.274834,34.198669,4.274834,0.000000,8.549667,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,100.651108,181172,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,100.682220,181228,
