block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,99.205559,178570,24.427778,0.220070,18.550556,0.167122,14.412222,0.129840,0.001111,0.000010,5578.994629,39.880001,0.359279,122.437622,0.000000,30.893333,0.278318,1.033333,5.936111,27.517778,0.000000,0.000000,0.000000,0.146111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.673889,7.044445,48.564999,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.747780,183146,58.706112,0.528884,25.009445,0.225310,79.925858,1.044444,0.009409,65.742653,0.000000,30.714445,0.276707,3.157778,10.967778,34.561668,0.000000,0.000000,0.000000,0.220556,35.366112,NA,NA,NA,3.550000,2.172778,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.767776,183182,44.692780,0.402638,19.658333,0.177102,76.649704,1.023333,0.009219,67.098907,0.000000,30.401112,0.273884,2.846111,9.318334,27.925556,0.000000,0.000000,0.000000,0.203333,26.407223,NA,NA,NA,14.286111,8.590000,
1,cube0,99.305000,178749,24.356112,0.219424,18.550556,0.167122,15.118333,0.136201,0.001111,0.000010,5578.994629,38.367222,0.345651,127.265213,0.000000,29.776667,0.268258,1.042222,5.994444,28.206667,0.000000,0.000000,0.000000,0.140556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551111,9.099444,48.123890,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.788330,183219,58.786667,0.529610,25.526667,0.229970,78.306396,1.534444,0.013824,64.637154,0.000000,32.067223,0.288894,3.169445,11.011666,34.552223,0.000000,0.000000,0.000000,0.229444,36.025002,NA,NA,NA,2.910556,1.104445,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.788887,183220,44.773335,0.403363,19.563334,0.176246,77.021912,1.373889,0.012377,72.190788,0.000000,31.447779,0.283313,2.855000,9.362778,27.686111,0.000000,0.000000,0.000000,0.202778,26.557222,NA,NA,NA,13.738889,9.542778,
2,cube0,99.567780,179222,24.392778,0.219755,18.539444,0.167022,15.279445,0.137653,0.001111,0.000010,5578.994629,39.523335,0.356066,123.542534,0.000000,32.578888,0.293503,1.049444,5.987778,28.992222,0.000000,0.000000,0.000000,0.156667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.104445,18.621111,36.021667,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.998886,179998,57.200001,0.515315,25.153334,0.226607,78.255386,0.981111,0.008839,62.210239,0.000000,31.976110,0.288073,3.156111,10.990000,34.017223,0.000000,0.000000,0.000000,0.197778,37.297779,NA,NA,NA,3.678333,1.801667,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.993889,179989,43.186668,0.389069,18.174444,0.163734,81.228775,1.013889,0.009134,60.199059,0.000000,31.223888,0.281296,2.842778,9.341666,27.328888,0.000000,0.000000,0.000000,0.225000,26.146111,NA,NA,NA,20.151667,2.291111,
3,cube0,99.410553,178939,24.381666,0.219655,18.527222,0.166912,16.450556,0.148203,0.001111,0.000010,5578.994629,39.276669,0.353844,124.318390,0.000000,30.103889,0.271206,1.060000,5.996111,30.199444,0.000000,0.000000,0.000000,0.150556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.337222,18.582777,23.522778,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.252220,194854,55.883335,0.503453,23.141111,0.208478,79.702568,1.580556,0.014239,57.924400,0.000000,27.057777,0.243764,3.043889,10.288333,28.220556,0.000000,0.000000,0.000000,0.215000,31.907778,NA,NA,NA,3.192778,12.828333,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.302780,194945,34.494999,0.310766,13.232778,0.119214,83.600151,1.392778,0.012548,60.256084,0.000000,23.728889,0.213774,2.558333,7.795000,17.541111,0.000000,0.000000,0.000000,0.225000,17.141111,NA,NA,NA,31.178333,15.167222,
4,cube0,99.491669,179085,24.381666,0.219655,18.527222,0.166912,17.073334,0.153814,0.001111,0.000010,5578.994629,38.721111,0.348839,126.102074,0.000000,30.517778,0.274935,1.067222,6.037778,30.796112,0.000000,0.000000,0.000000,0.172778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.924444,18.533333,23.274445,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.220001,191196,54.457779,0.490611,21.670000,0.195225,83.705055,1.623889,0.014630,70.473366,0.000000,27.017221,0.243398,3.036667,10.282222,27.961111,0.000000,0.000000,0.000000,0.209444,31.716110,NA,NA,NA,3.556111,13.461111,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.280556,191305,33.069443,0.297923,13.697222,0.123398,78.537437,1.716111,0.015460,62.240448,0.000000,24.367777,0.219530,2.549444,7.790555,18.400555,0.000000,0.000000,0.000000,0.220000,18.066668,NA,NA,NA,29.537777,15.551111,
5,cube0,99.562225,179212,24.332222,0.219209,18.515556,0.166807,16.619444,0.149725,0.001111,0.000010,5578.994629,37.645000,0.339144,129.706802,0.000000,31.400000,0.282883,1.067778,6.020000,30.500555,0.000000,0.000000,0.000000,0.135556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.865556,7.495555,34.975555,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.211113,183980,51.365002,0.462748,21.666111,0.195190,80.903000,1.138889,0.010260,60.290829,0.000000,27.947222,0.251777,3.005556,10.218333,27.794445,0.000000,0.000000,0.000000,0.195556,33.069443,NA,NA,NA,4.075555,12.647778,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.246109,184043,29.976667,0.270060,12.940556,0.116582,78.413139,1.096667,0.009880,55.655155,0.000000,24.482779,0.220566,2.518333,7.726111,18.670000,0.000000,0.000000,0.000000,0.195000,18.420000,NA,NA,NA,26.070555,19.511110,
