block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,10.902223,19624,0.213981,0.153704,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,15.805555,28450,0.014938,0.005154,0.003302,0.006481,0.000000,0.053735,0.003735,0.070802,
0,vector1,NA,NA,NA,NA,NA,NA,15.880000,28584,0.001944,0.000031,0.001914,0.000000,0.000000,0.045926,0.001235,0.005679,
1,cube0,10.833889,19501,0.224877,0.165123,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,11.010555,19819,0.012994,0.005123,0.001389,0.006481,0.000000,0.013148,0.003827,0.065401,
1,vector1,NA,NA,NA,NA,NA,NA,11.035556,19864,0.000000,0.000000,0.000000,0.000000,0.000000,0.001512,0.001204,0.000278,
2,cube0,10.810555,19459,0.210185,0.150710,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,10.991667,19785,0.012994,0.005123,0.001389,0.006481,0.000000,0.013426,0.003827,0.065401,
2,vector1,NA,NA,NA,NA,NA,NA,11.005000,19809,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000278,
3,cube0,10.801111,19442,0.211327,0.160309,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,10.986667,19776,0.012994,0.005123,0.001389,0.006481,0.000000,0.012809,0.003827,0.065340,
3,vector1,NA,NA,NA,NA,NA,NA,10.981667,19767,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000278,
4,cube0,10.817223,19471,0.226543,0.175741,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,15.638333,28149,0.014938,0.005154,0.003302,0.006481,0.000000,0.053210,0.003827,0.070802,
4,vector1,NA,NA,NA,NA,NA,NA,15.662778,28193,0.001944,0.000031,0.001914,0.000000,0.000000,0.043179,0.001235,0.005494,
5,cube0,10.833333,19500,0.213889,0.152068,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,10.975000,19755,0.012994,0.005123,0.001389,0.006481,0.000000,0.012778,0.003827,0.065216,
5,vector1,NA,NA,NA,NA,NA,NA,11.031111,19856,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000463,
6,cube0,10.807222,19453,0.235833,0.184753,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,11.408334,20535,0.012994,0.005123,0.001389,0.006481,0.000000,0.012932,0.003827,0.065401,
6,vector1,NA,NA,NA,NA,NA,NA,10.997222,19795,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000463,
7,cube0,10.782778,19409,0.211790,0.152716,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,10.947778,19706,0.012994,0.005123,0.001389,0.006481,0.000000,0.015710,0.003827,0.065154,
7,vector1,NA,NA,NA,NA,NA,NA,10.954445,19718,0.000000,0.000000,0.000000,0.000000,0.000000,0.001481,0.001173,0.000278,
