block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,10.852777,19535,1,512,26,521,27,521,0.194932,4.840183,3.358209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.882778,28589,1,80,313,4,328,2,1.234568,99.072639,88.186813,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.873333,28572,17,64,265,0,252,1,20.987654,99.806953,89.148582,
1,cube0,10.861667,19551,1,512,34,513,36,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.078333,19941,1,80,68,0,66,1,1.234568,99.259262,62.500000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.068334,19923,17,64,3,1,2,0,20.987654,83.333336,25.287355,
2,cube0,10.833889,19501,1,512,36,512,34,513,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.040000,19872,1,80,67,0,67,1,1.234568,99.259262,62.500000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.097777,19976,17,64,2,1,3,0,20.987654,83.333336,25.287355,
3,cube0,10.813334,19464,1,512,34,513,36,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.967222,19741,17,64,67,0,67,1,20.987654,99.259262,69.907410,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.967778,19742,17,64,3,0,2,1,20.987654,83.333336,25.287355,
4,cube0,10.760555,19369,1,512,27,521,27,520,0.194932,4.931507,3.420398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.819445,28475,17,64,330,0,316,1,20.987654,99.845444,91.071426,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.826667,28488,17,64,251,1,266,0,20.987654,99.806953,89.148582,
5,cube0,10.753889,19357,1,512,35,512,36,513,0.194932,6.478102,4.474829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.451667,20613,17,64,67,1,67,0,20.987654,99.259262,69.907410,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.041111,19874,17,64,2,1,3,0,20.987654,83.333336,25.287355,
6,cube0,10.639444,19151,1,512,35,513,35,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.793333,19428,1,80,67,0,67,1,1.234568,99.259262,62.500000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.833333,19500,17,64,3,0,2,1,20.987654,83.333336,25.287355,
7,cube0,10.716111,19289,1,512,35,513,35,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.847222,19525,1,80,69,1,65,0,1.234568,99.259262,62.500000,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.869445,19565,17,64,1,0,4,1,20.987654,83.333336,25.287355,
