block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,11.223889,20203,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,16.113890,29005,27.221684,39.731365,0.000800,0.422538,
0,vector1,NA,NA,16.170555,29107,17.836220,28.770990,0.000800,0.416136,
1,cube0,11.218333,20193,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,11.417222,20551,9.564721,13.393171,0.000800,0.422538,
1,vector1,NA,NA,11.489445,20681,0.179258,2.432794,0.000800,0.416136,
2,cube0,11.243333,20238,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,11.433333,20580,9.564721,13.393171,0.000800,0.422538,
2,vector1,NA,NA,11.434444,20582,0.179258,2.432794,0.000800,0.416136,
3,cube0,11.212778,20183,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,11.497778,20696,9.564721,13.393171,0.000800,0.422538,
3,vector1,NA,NA,11.480556,20665,0.179258,2.432794,0.000800,0.416136,
4,cube0,11.118333,20013,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,15.906111,28631,27.221684,39.731365,0.000800,0.422538,
4,vector1,NA,NA,15.982778,28769,17.836220,28.770990,0.000800,0.416136,
5,cube0,11.115000,20007,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,11.248333,20247,9.564721,13.393171,0.000800,0.422538,
5,vector1,NA,NA,11.271111,20288,0.179258,2.432794,0.000800,0.416136,
6,cube0,11.092222,19966,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,11.252778,20255,9.564721,13.393171,0.000800,0.422538,
6,vector1,NA,NA,11.292778,20327,0.179258,2.432794,0.000800,0.416136,
7,cube0,11.107223,19993,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,11.272778,20291,9.564721,13.393171,0.000800,0.422538,
7,vector1,NA,NA,11.281667,20307,0.179258,2.432794,0.000800,0.416136,
