block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,10.819445,19475,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.122253,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.849444,28529,2.029054,4.064448,4.102493,2.060758,8,0.056574,4,0.022253,80.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,80.125000,1.846973,40.000000,1.086217,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.843333,28518,2.029054,3.246486,3.284531,2.060758,5,0.046543,4,0.023796,64.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,64.000000,1.475273,40.000000,1.086217,
1,cube0,10.797778,19436,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.099074,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.026111,19847,2.029054,0.817962,0.856007,2.060758,4,0.011420,4,0.023117,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.371700,40.000000,1.086217,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.023889,19843,2.029054,0.000000,0.038045,2.060758,1,0.000062,4,0.027407,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.086217,
2,cube0,10.732223,19318,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.121914,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.914444,19646,2.029054,0.817962,0.856007,2.060758,4,0.010957,4,0.049907,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.371700,40.000000,1.086217,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.902778,19625,2.029054,0.000000,0.038045,2.060758,1,0.000062,4,0.028735,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.086217,
3,cube0,10.781667,19407,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.111667,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.943334,19698,2.029054,0.817962,0.856007,2.060758,4,0.011451,4,0.050247,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.371700,40.000000,1.086217,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.952778,19715,2.029054,0.000000,0.038045,2.060758,1,0.000062,4,0.030370,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.086217,
4,cube0,10.797222,19435,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.094198,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.747222,28345,2.029054,4.064448,4.102493,2.060758,8,0.054660,4,0.024846,80.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,80.125000,1.846973,40.000000,1.086217,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.746111,28343,2.029054,3.246486,3.284531,2.060758,5,0.045278,4,0.026512,64.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,64.000000,1.475273,40.000000,1.086217,
5,cube0,10.752778,19355,12.985943,6.898782,6.949509,13.011307,67,0.051481,10,0.094969,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.000000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.937222,19687,2.029054,0.817962,0.856007,2.060758,4,0.011049,4,0.024506,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.371700,40.000000,1.086217,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.943889,19699,2.029054,0.000000,0.038045,2.060758,1,0.000062,4,0.031914,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.086217,
6,cube0,10.766111,19379,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.093364,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.958333,19725,2.029054,0.817962,0.856007,2.060758,4,0.011481,4,0.025370,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.371700,40.000000,1.086217,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.981112,19766,2.029054,0.000000,0.038045,2.060758,1,0.000062,4,0.029321,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.086217,
7,cube0,10.738334,19329,12.985943,6.898782,6.943168,13.011307,67,0.051481,10,0.114444,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.613175,2.000000,0.050871,0.000000,0.000000,256.000000,6.203871,NA,NA,NA,NA,
